0x0004acf9 ああ・・・助かったわ。　　　　　
0x0004c45e 総員、戦闘配置！　　　　　　　　
0x0004c48c 攻撃目標、左舷　　　　　　　　　
0x0004c4ad 虹の上の乙女の騎士！　　　　　　
0x0004c4ce 攻撃開始！！　　　　　　　　　　
0x0004c59c 私は、姫様の涙を　　　　　　　　
0x0004c5bd 研究している者です。　　　　　　
0x0004c5ec どうやら姫様の涙は、　　　　　　
0x0004c60d 生き物のけがや病気の回復に　　　
0x0004c62e よく効くらしいのです。　　　　　
0x0004c65c この涙をつかえば、いままでより　
0x0004c67d はるかに良い薬が出来るはず・・。
0x0004c6ac その薬がカルデラにはやっている　
0x0004c6cd ‘奇病’にも効けばいいんですが。
0x0004c6ee とにかく研究あるのみです！　　　
0x0004c71c えっ！けがをしたクジラが？　　　
0x0004c73d う〜む・・・クジラくらい大きな　
0x0004c75e 生き物のけがとなると、　　　　　
0x0004c78c ふつうの傷薬なんかは　　　　　　
0x0004c7ad 効かないでしょうな・・・。　　　
0x0004c7dc ・・・よし、わかりました！　　　
0x0004c7fd この、姫様の涙から作り出した　　
0x0004c81e ‘万能薬’の試作品を、　　　　　
0x0004c84c そのクジラに試してみて　　　　　
0x0004c86d あげてださい！　　　　　　　　　
0x0004c89c ＜万能薬・試作品を　　　　　　　
0x0004c8bd 手に入れた！＞　　　　　　　　　
0x0004c8ec もちろん、お代なんて　　　　　　
0x0004c90d いりませんよ！　　　　　　　　　
0x0004c93c こちらこそ、タダで薬を　　　　　
0x0004c95d 試せるんですから・・・っとと　　
0x0004c97e お、お大事に。　　　　　　　　　
0x0004c9ac う〜ん・・・タロスのミルクと、　
0x0004c9cd ソーチキスの卵のからと、　　　　
0x0004c9fc 根かじり虫の脱皮した皮でも　　　
0x0004ca1d 試してみるかな？　　　　　　　　
0x0004ca3e あとは・・・ぶつぶつぶつ・・。　
0x0004ca6c そうですか！効きましたか！　　　
0x0004ca8d よ〜し、がぜんやる気が　　　　　
0x0004caae 出てきたぞぉ！　　　　　　　　　
0x0004cbc4 ン？お客さんかね？　　　　　　　
0x0004cbe5 わしらの工房にようこそ。　　　　
0x0004cc14 船でも、家でも、橋でも、　　　　
0x0004cc35 なんでもお作りしますぞ。　　　　
0x0004cc56 のう、ガティ！　　　　　　　　　
0x0004cc84 ウーム・・・。　　　　　　　　　
0x0004ccb4 ガティは愛想はわるいが、　　　　
0x0004ccd5 大工としての腕は確かじゃ。　　　
0x0004cd04 おじょうさん、　　　　　　　　　
0x0004cd25 なにか入用のものがあれば、　　　
0x0004cd46 なんでも言ってみてくだされよ。　
0x0004cd74 ゴフォ、ゴフォ、ゴフォ。　　　　
0x0004cda4 方舟のおじいさん！おひさしぶり！
0x0004cdd4 ン？おや、クリノさんと　　　　　
0x0004cdf5 いっしょにいたフェアリーじゃ　　
0x0004ce16 ないかね？　　　　　　　　　　　
0x0004ce44 ひさしぶりだのう。　　　　　　　
0x0004ce65 クリノさんはお元気かね？　　　　
0x0004ce94 おじいさん、実はおじいさんの　　
0x0004ceb5 お知恵をお借りしたいの・・・。　
0x0004cee4 ・・・。　　　　　　　　　　　　
0x0004cf14 う〜む・・・ローレライに　　　　
0x0004cf35 つづく山道はあそこ一つしか　　　
0x0004cf56 ないんじゃ・・・。　　　　　　　
0x0004cf84 あとは開かずの廃坑を　　　　　　
0x0004cfa5 抜けていくしかないのう、ガティ。
0x0004cfd4 あそこを通れば、　　　　　　　　
0x0004cff5 確かローレライの近くに　　　　　
0x0004d016 出られるじゃろう？　　　　　　　
0x0004d044 じいさん・・・。　　　　　　　　
0x0004d065 あそこはやめたほうがいい。　　　
0x0004d094 ・・・あの化石のことかね？　　　
0x0004d0c4 化石？　　　　　　　　　　　　　
0x0004d0f4 ああ、あそこを掘っていたころに、
0x0004d115 大きな生き物の化石を　　　　　　
0x0004d136 見つけたんじゃよ。　　　　　　　
0x0004d164 どうやら古代の巨大な生き物の　　
0x0004d185 化石のようなんじゃが・・・。　　
0x0004d1b4 夜な夜な廃坑の地下から、　　　　
0x0004d1d5 妙な鳴き声が聞こえてくる。　　　
0x0004d204 村じゃ、あの化石が生き返って　　
0x0004d225 動いてるって、　　　　　　　　　
0x0004d246 もっぱらのうわさだ。　　　　　　
0x0004d274 ・・・たしかに最近、　　　　　　
0x0004d295 マーベルランドの　　　　　　　　
0x0004d2b6 いろいろな場所で、　　　　　　　
0x0004d2e4 古い時代の生き物や、　　　　　　
0x0004d305 魔物のたぐいが見かけられていると
0x0004d326 聞いてはいるのじゃが・・・。　　
0x0004d354 あれはどうみてもただの　　　　　
0x0004d375 化石じゃった・・・。　　　　　　
0x0004d396 まさかとは思うが、う〜む・・。　
0x0004d3c4 カルデラではやっておる　　　　　
0x0004d3e5 ‘狂時病’といい、　　　　　　　
0x0004d414 誰かがいたずらに時間をいじくって
0x0004d435 いるかのようじゃ・・・。　　　　
0x0004d464 だぁ〜いじょうぶよ！　　　　　　
0x0004d485 どんな魔物が現れても、　　　　　
0x0004d4b4 ワルキューレさんが　　　　　　　
0x0004d4d5 やっつけちゃうんだから！　　　　
0x0004d4f6 ね？ワルキューレさん？　　　　　
0x0004d524 どうしてもというなら協力は　　　
0x0004d545 惜しまないがの・・・ガティ、　　
0x0004d566 あれをお嬢さんに差し上げようか　
0x0004d594 ・・・。　　　　　　　　　　　　
0x0004d5c4 そうじゃ！多少荒っぽくなるがな。
0x0004d5e5 え〜っと・・・これじゃ！　　　　
0x0004d614 ＜大爆弾を手にいれた！＞　　　　
0x0004d644 大爆弾を廃坑の前で使うのじゃよ。
0x0004d665 くれぐれも取り扱いには　　　　　
0x0004d686 気をつけてな。　　　　　　　　　
0x0004d6c0 おじょうさん、　　　　　　　　　
0x0004d6e1 道中気をつけてなぁ。　　　　　　
0x0004d710 無理はするなよ！　　　　　　　　
0x0004d9f4 旅の人。カルデラの町にようこそ！
0x0004da15 ・・・と言いたいんだけれど。　　
0x0004da44 いまカルデラの町は、　　　　　　
0x0004da65 なんていうか・・・。　　　　　　
0x0004da86 ちょっと普通じゃないんだ。　　　
0x0004dab4 出来ればあんまり長居しない　　　
0x0004dad5 ほうがいいかもね。　　　　　　　
0x0004db2c このカルデラの町は、もとから　　
0x0004db4d 水浸しだったわけじゃないんだ。　
0x0004db7c この水は全て、カルデラ城の　　　
0x0004db9d お姫様が、行方不明の恋人を　　　
0x0004dbbe しのんで泣いた時の涙なんだよ。　
0x0004dc08 カルデラがもとの平和な町に　　　
0x0004dc29 戻るまでは、まだいろいろな困難が
0x0004dc4a あるけれど、とりあえず水だけは　
0x0004dc78 不自由しないね。　　　　　　　　
0x0004dcc4 南に住むエンリケ族の友人から、　
0x0004dce5 久しぶりに便りがあった。　　　　
0x0004dd14 なんでも町を、タッタ族に　　　　
0x0004dd35 乗っ取られていたらしい。　　　　
0x0004dd64 けれど一人の勇かんな　　　　　　
0x0004dd85 女の子の活躍で、　　　　　　　　
0x0004dda6 町を取り戻せたとか・・・。　　　
0x0004ddd4 もしかするとその子は　　　　　　
0x0004ddf5 ‘天の御使い’かもしれんな？　　
0x0004de58 姫様が魔物に連れ去られようと　　
0x0004de79 したとき、姫の恋人ニコル様は、　
0x0004de9a 身をていして姫を守った・・・。　
0x0004dec8 けれど、姫を助けるには　　　　　
0x0004dee9 いたらなかったんだ・・・。　　　
0x0004df18 それでもニコル様はあきらめず、　
0x0004df39 姫を連れて飛び去ろうとした　　　
0x0004df5a 魔物のその足にしがみついた！　　
0x0004df88 で、結局そのまま一緒に、　　　　
0x0004dfa9 いずこかへと　　　　　　　　　　
0x0004dfca 飛んでいってしまったんだ。　　　
0x0004e02c ティアナ姫とニコル様。　　　　　
0x0004e04d お二人の幸せな結婚式！　　　　　
0x0004e06e ・・・でもその日・・・　　　　　
0x0004e09c 真っ黒な空から、　　　　　　　　
0x0004e0bd もっと真っ黒な魔物が現れて、　　
0x0004e0de ２人をさらっていっちゃったの！　
0x0004e128 ローレライ海の向こうにある　　　
0x0004e149 マッコウ大陸の海には、　　　　　
0x0004e16a 人なつっこいクジラがいるんだ。　
0x0004e198 ただのクジラじゃないよ。　　　　
0x0004e1c8 クジラ達の塩ふきでできる　　　　
0x0004e1e9 ‘虹の橋’は、どんな道にも　　　
0x0004e20a 通じる魔法の橋なんだ。　　　　　
0x0004e260 北のローレライ海は、今、　　　　
0x0004e281 毎日の嵐と、空にいるっていう　　
0x0004e2a2 魔物のせいで、　　　　　　　　　
0x0004e2d0 越えられなくなっちゃってるの。　
0x0004e300 まるで誰かが、　　　　　　　　　
0x0004e321 この先には立ち入るな　　　　　　
0x0004e342 って言ってるみたい。　　　　　　
0x0004e398 私、こう見えてもこの子の　　　　
0x0004e3b9 母親なんです。　　　　　　　　　
0x0004e3e8 それが、朝目が覚めると、　　　　
0x0004e409 こんな子どもの姿になっていて・・
0x0004e438 たしかティアナ姫様が魔物に　　　
0x0004e459 連れ去られた次の日の朝です。　　
0x0004e488 はぁ・・・。　　　　　　　　　　
0x0004e4a9 若返ってうれしい、　　　　　　　
0x0004e4ca なんて言ってられないわ。　　　　
0x0004e4f8 この姿じゃ、家事がたいへんよ〜。
0x0004e568 ふふ、私とおかあさん、　　　　　
0x0004e589 そっくりでしょう？　　　　　　　
0x0004e5c8 おじいさんなんて、　　　　　　　
0x0004e5e9 呼ばないでくれ！　　　　　　　　
0x0004e60a ぼくはまだ若いんだ！　　　　　　
0x0004e638 若かった・・・はずなんだ。　　　
0x0004e659 昨日までは・・・たしかハタチで、
0x0004e688 だのに、な、なんで、　　　　　　
0x0004e6a9 朝起きるとじいさんなんだ！？　　
0x0004e700 た〜び〜の〜ひ〜と〜　　　　　　
0x0004e721 カ〜ル〜デ〜ラ〜に〜　　　　　　
0x0004e742 よ〜う〜こ〜そ〜。　　　　　　　
0x0004e780 ね〜え〜き〜み、ぼ〜く〜の〜　　
0x0004e7a1 しゃ〜べ〜り〜　　　　　　　　　
0x0004e7c2 か〜たっ〜て〜、　　　　　　　　
0x0004e7f0 そ〜ん〜な〜に〜　　　　　　　　
0x0004e811 の〜ろ〜ま〜か〜い〜？　　　　　
0x0004e85c え、なに？ぼくがはやすぎる？　　
0x0004e87d そう最近おかしな奴が多いよ！　　
0x0004e8ac はやすぎるやつ　　　　　　　　　
0x0004e8cd おそすぎるやつ　　　　　　　　　
0x0004e8fc きゅうにわかがえったやつ　　　　
0x0004e91d としよりになったやつ　　　　　　
0x0004e94c きみはまだふつうみたいだね　　　
0x0004e96d よかった、　　　　　　　　　　　
0x0004e98e じゃあぼくいそぐからこれで！　　
0x0004e9f0 いや〜っ！入ってこないで！　　　
0x0004ea11 こんなしわくちゃな私なんて、　　
0x0004ea32 誰にも見られたくないのぉ〜！　　
0x0004ea60 誰でも若いころはあったし、　　　
0x0004ea81 日々老いて行くんじゃ。　　　　　
0x0004eab0 ちょっと見方を変えれば、　　　　
0x0004ead1 これはいい経験じゃよ。　　　　　
0x0004eb00 もっとも、ちゃんと治れば　　　　
0x0004eb21 いうことはないんじゃが・・・。　
0x0004eb84 ぼく、しばらくこの、　　　　　　
0x0004eba5 お兄さんの姿でいたいなあ。　　　
0x0004ebd4 この姿なら、おとうさんの　　　　
0x0004ebf5 お仕事も手伝って　　　　　　　　
0x0004ec16 あげられるんだもの！　　　　　　
0x0004ec60 カルデラの東の森から、　　　　　
0x0004ec81 南へ下ってゆくと　　　　　　　　
0x0004eca2 ピクシー達の村があるんだ。　　　
0x0004ece0 ・・・ぼくの彼女‘年老い症’に　
0x0004ed01 かかっちゃって・・・。　　　　　
0x0004ed30 家に閉じこもったきり、　　　　　
0x0004ed51 顔も見せてくれないんだ・・・。　
0x0004ed80 年令や、外見なんて、関係ない！　
0x0004edb0 ・・・なんて、口じゃあカンタンに
0x0004edd1 言えるんだけど・・・。　　　　　
0x0004ee00 いざ本人を目の前にしたら、　　　
0x0004ee21 ためらっちゃうんだろうなぁ？　　
0x0004ee90 えええええ今日ってまだまだまだ　
0x0004eeb1 おわらないの？　　　　　　　　　
0x0004eed2 もう１週間も今日じゃない！　　　
0x0004ef00 ねえねえいつおわるの？　　　　　
0x0004ef21 いついついついついつから明日？　
0x0004ef6c いや〜あ、びっくりしたよ。　　　
0x0004ef8d なにがかって？　　　　　　　　　
0x0004efae 魔物じゃよ！空飛ぶ魔物！　　　　
0x0004efdc ローレライ海への山道を歩いてたら
0x0004effd 空からいきなりでっかい鉄の玉が　
0x0004f01e 落ちてきたんじゃ！　　　　　　　
0x0004f04c ここまで、命辛々逃げて　　　　　
0x0004f06d 来たんじゃが・・・。　　　　　　
0x0004f08e 空を飛ぶあのでかい影！　　　　　
0x0004f0bc 思い出しただけでも　　　　　　　
0x0004f0dd 寒気がするわい。　　　　　　　　
0x0004f140 フルータジアは、かつて‘富の国’
0x0004f161 と呼ばれたほど豊かな国じゃった。
0x0004f190 しかし、国の繁栄とは逆に、　　　
0x0004f1b1 人の心はどんどん貧しくなって　　
0x0004f1d2 いったんじゃ・・・。　　　　　　
0x0004f200 そう・・・無限の富の中で　　　　
0x0004f221 みな、欲望という名の魔物に、心を
0x0004f242 むしばまれていったのじゃよ。　　
0x0004f270 やがて、フルータジアは滅んだ。　
0x0004f2a0 伝説によると、彼らの欲望が　　　
0x0004f2c1 産み出したという魔物に、一夜の　
0x0004f2e2 うちに滅ぼされたと聞くが・・・　
0x0004f310 わしは、魔物の出現などなくとも、
0x0004f331 フルータジアはすぐに滅んだ　　　
0x0004f352 じゃろうと思うておるよ。　　　　
0x0004f380 マッコウ大陸は、自然に満ちた　　
0x0004f3a1 穏やかな大陸じゃった。　　　　　
0x0004f3c2 だが、最近大寒波にみまわれてな　
0x0004f3f0 今では厚い氷におおわれた氷原が　
0x0004f411 広がっているばかりじゃよ。　　　
0x0004f4bc 少し前までローレライ海は、　　　
0x0004f4dd タチの悪い海賊達に　　　　　　　
0x0004f4fe 牛耳られていたの。　　　　　　　
0x0004f52c 奴等は、黒い海賊船を操って、　　
0x0004f54d 海を渡る商船を　　　　　　　　　
0x0004f56e 積み荷目当てに襲っていたわ。　　
0x0004f59c でも、そんな奴等も、　　　　　　
0x0004f5bd サンドラ族の勇者クリノ様には　　
0x0004f5de かなわなかったんだって。　　　　
0x0004f60c クリノ様にこらしめられた海賊達が
0x0004f62d その後どうしたかって？　　　　　
0x0004f64e さあ・・・？　　　　　　　　　　
0x0004f67c 少なくとも、まじめに働いたりは　
0x0004f69d してないんじゃない？　　　　　　
0x0004f70c ニコル様はもともと、　　　　　　
0x0004f72d 笛吹きの風来坊だったんだよ。　　
0x0004f74e 粗末な身なりにヒゲだらけの顔の　
0x0004f77c でも、とても博識で、　　　　　　
0x0004f79d 思慮深い方で・・・。　　　　　　
0x0004f7cc そしてどんな人に対しても、　　　
0x0004f7ed へりくだったり、　　　　　　　　
0x0004f80e 偉ぶったりしない、　　　　　　　
0x0004f83c とても肝の座った人なんだ。　　　
0x0004f86c 笛を吹くのがとても上手で、　　　
0x0004f88d カルデラでも有名だったんだ。　　
0x0004f8bc で、ある日お城からお呼びが　　　
0x0004f8dd かかったんだけど・・・。　　　　
0x0004f90c ニコル様、行かなかったんだ。　　
0x0004f92d ‘演奏する場所は自分で決める’　
0x0004f94e って。　　　　　　　　　　　　　
0x0004f97c お城の人達は怒ったけれど、　　　
0x0004f99d そこをティアナ姫がなだめた。　　
0x0004f9cc でも、ティアナ姫は、どうしても　
0x0004f9ed ニコル様の笛が聞きたくて、　　　
0x0004fa0e お忍びで町に出かけたんだって。　
0x0004fa3c そこでニコル様と出会って・・・。
0x0004fa6c まあ、それがお二人のなれそめさ。
0x0004fa9c ニコル様は、本当に自分の意志を　
0x0004fabd 曲げない人でね・・・。　　　　　
0x0004faec ティアナ姫との結婚式の日も、　　
0x0004fb0d この町に来たときのまんまの、　　
0x0004fb3c 風来坊の格好で　　　　　　　　　
0x0004fb5d 出席されたんだよ。　　　　　　　
0x0004fb8c 姫様も、ニコル様のそういう所が　
0x0004fbad 好きになったんだろうね。　　　　
0x0004fcac 私がカルデラの城下町の町長です。
0x0004fcdc この姿が気になりますか？　　　　
0x0004fcfd ・・・どうやらわたしも、最近、　
0x0004fd1e 町にはやっている　　　　　　　　
0x0004fd4c ‘奇病’のうちのひとつ、　　　　
0x0004fd6d ‘若返り症’に　　　　　　　　　
0x0004fd8e かかってしまったようでして　　　
0x0004fdbc 姫様と姫様の婚約者のニコル様が　
0x0004fddd 魔物に連れ去られてからというもの
0x0004fe0c この町のまわりでは、　　　　　　
0x0004fe2d おかしなことばかり起きています。
0x0004fe5c その一つが、この奇病・・・　　　
0x0004fe7d 私達が‘狂時病’と　　　　　　　
0x0004fe9e 呼んでいるものです。　　　　　　
0x0004fecc ‘狂時病’にはいくつかの　　　　
0x0004feed 種類があるようでして・・・。　　
0x0004ff1c 生活のリズムが　　　　　　　　　
0x0004ff3d まるで変わってしまう　　　　　　
0x0004ff5e ‘高速症’と‘鈍足症’　　　　　
0x0004ff8c 自分自身の年令が変わってしまう　
0x0004ffad ‘年老い症’と‘若返り症’　　　
0x0004ffdc この４つがあるようです。　　　　
0x0005000c ・・・いずれもなおす方法は　　　
0x0005002d 全くわかっていません。　　　　　
0x0005005c はあ・・・涙の洪水さわぎがすんだ
0x0005007d ばかりだというのに・・・。　　　
0x00050154 ワルキューレ様！お久しぶり！　　
0x00050175 ちょいとお先にここでずいぶんと　
0x00050196 稼がせていただきましたよ。　　　
0x000501c4 っと、それはさておき・・・。　　
0x000501f4 新しい品も用意してありやすよ！　
0x00050215 もちろんあなたの旅のお役にたつ　
0x00050236 モノばかり・・・。　　　　　　　
0x00050264 さあ、見てって損はないですぜ！　
0x000502d4 まあ、あっしが一人でここまで　　
0x000502f5 これたってのも、あなたが旅した　
0x00050316 後を来たからなんですがね・・。　
0x00050344 そうだ、こうしやしょう！　　　　
0x00050374 あなたが世直しをする。　　　　　
0x000503a4 あなたの開いた安全な道で、　　　
0x000503c5 あっしが、虐げられていた人々に　
0x000503e6 まっとうな生活をお売りする！　　
0x00050414 これこそ世のため、　　　　　　　
0x00050435 人のためってやつです！　　　　　
0x00050464 お返事は、いますぐでなくても　　
0x00050485 いいですよ。　　　　　　　　　　
0x000504a6 じっくり考えといてくださいな。　
0x00050528 ここから北へ向かうと　　　　　　
0x00050549 ローレライ海に出る。　　　　　　
0x00050578 その向こうには　　　　　　　　　
0x00050599 緑豊かなマッコウ大陸と、　　　　
0x000505ba 富の国と呼ばれたフルータジアが　
0x000505e8 あるんだが・・・。　　　　　　　
0x00050609 今のローレライ海をこえることは、
0x0005062a きっとだれにもできんよ。　　　　
0x00050658 海は毎日大荒れで、おまけに空には
0x00050679 巨大な魔物がうろついてやがる！　
0x000506dc 旅の人か・・・。　　　　　　　　
0x000506fd すまないが、素性の知れない者を　
0x0005071e 城に入れるわけにはいかないんだ　
0x0005075c 行方不明になっていた姫様の恋人、
0x0005077d ニコル様が見つかって、　　　　　
0x0005079e やっとお姫様が　　　　　　　　　
0x000507cc 泣き止んだってのに・・・。　　　
0x000507ed 今度はその２人が、魔物に　　　　
0x0005080e 連れ去られてしまった。　　　　　
0x0005083c カルデラはこれから　　　　　　　
0x0005085d どうなってしまうんだろ・・・？　
0x000508b4 カルデラの町の人は、　　　　　　
0x000508d5 良き隣人ですよ。　　　　　　　　
0x00050914 おおい、その色の花は　　　　　　
0x00050935 食べちゃだめだろ！　　　　　　　
0x00050974 そろそろ新しい糸を、町に　　　　
0x00050995 売りに行こうかしら？　　　　　　
0x000509d4 糸吐き虫達は、食べた花の色に　　
0x000509f5 応じた色の糸を吐くんだ。　　　　
0x00050a16 でも、どの虫にも個性があって、　
0x00050a44 同じ花を食べても　　　　　　　　
0x00050a65 虫によって出す糸の色が、　　　　
0x00050a86 微妙に違うんだ。　　　　　　　　
0x00050ab4 同じ虫でも、年令や体調なんかで、
0x00050ad5 出す糸の色つやが　　　　　　　　
0x00050af6 変わってくる。　　　　　　　　　
0x00050b24 今年は・・・　　　　　　　　　　
0x00050b45 少しくすんだ色が多いかな？　　　
0x00050b74 このところカルデラ一帯は　　　　
0x00050b95 災難続きだからなぁ。　　　　　　
0x00050bc4 虫達も、なにかに　　　　　　　　
0x00050be5 おびえているみたいだし・・・。　
0x00050c14 やっぱり心の不安も、　　　　　　
0x00050c35 色に出ちゃうのかなぁ。　　　　　
0x00050cbc 今年の流行色はなにかしら？　　　
0x00050cfc よおし、それそれ、その花だよ。　
0x00050d1d どんどんお食べ。　　　　　　　　
0x00050d5c よ〜し、いい色だぞ。　　　　　　
0x00050d9c そら、そら、　　　　　　　　　　
0x00050dbd がんばれ、がんばれ。　　　　　　
0x00050dfc 村の奥にある、ちょっと変わった　
0x00050e1d 木の小屋は見たかい？　　　　　　
0x00050e4c あれはもともと涙の洪水の時に、　
0x00050e6d 大工のじいさんが作った　　　　　
0x00050e8e 方舟なんだよ。　　　　　　　　　
0x00050ed8 大きな物が、村の下を動きまわって
