0x0003f171 来おったな、乙女の騎士よ！　　　
0x0003fcf2 通すわけにはいかぬ。　　　　　　
0x0003fd20 なんびとたりとも・・・！　　　　
0x0003fde8 ぐあああああああ・・・。　　　　
0x0003fe18 こ、ここは・・・？　　　　　　　
0x0003fe48 あなたは・・・。　　　　　　　　
0x0003fe78 クリノ！　　　　　　　　　　　　
0x0003fea8 サビーヌ・・・？　　　　　　　　
0x0003fec9 サビーヌじゃないか？　　　　　　
0x0003fef8 一体どうしてこんなところに？　　
0x0003ff19 お、オイラは一体なにを・・・？　
0x0003ff48 よかった・・・。　　　　　　　　
0x0003ff69 元に戻ったんだね。　　　　　　　
0x00040000 そうだったのか・・・。　　　　　
0x00040021 オイラ、操られていたのか・・・。
0x00040050 うん。　　　　　　　　　　　　　
0x00040080 ごめん、サビーヌ・・・。　　　　
0x000400a1 痛かったろう？　　　　　　　　　
0x000400d0 いいさ、気にするな。　　　　　　
0x00040100 ・・・すまないな。　　　　　　　
0x00040130 ワルキューレ様、ですね・・・。　
0x00040151 本当にありがとうございました。　
0x00040180 あなたがいらっしゃらなかったら、
0x000401a1 オイラはサビーヌにもっとひどい　
0x000401c2 ことをしていたかもしれない。　　
0x000401f0 それにしても、　　　　　　　　　
0x00040211 不思議な気持ちです。　　　　　　
0x00040232 お目にかかるのは初めてですのに　
0x00040260 なぜかオイラ、今日という日が　　
0x00040281 来るのを前々から知っていたような
0x000402a2 気がしてならないんです。　　　　
0x000402d0 どうしてでしょうね・・・？　　　
0x00040300 クリノ、話してるところ　　　　　
0x00040321 悪いんだけど、薬・・・。　　　　
0x00040350 あ、ああ。　　　　　　　　　　　
0x00040371 すまない。　　　　　　　　　　　
0x000403a0 まったく、これがオイラの手元に　
0x000403c1 残っていたことだけは、　　　　　
0x000403e2 不幸中の幸いだった。　　　　　　
0x00040410 とにかく、一旦戻って・・・。　　
0x00040440 ・・・え？　　　　　　　　　　　
0x00040461 薬を貸せ？　　　　　　　　　　　
0x00040482 ですか・・・？　　　　　　　　　
0x000404b0 ＜幻の薬を、頭上高く掲げた！＞　
0x000404e0 な、何が起こったんでしょう・・？
0x00040501 え？　　　　　　　　　　　　　　
0x00040530 薬の力をマーベルランド全域に　　
0x00040551 行き渡らせた、　　　　　　　　　
0x00040572 もう風化病は大丈夫、ですって？　
0x000405a0 ほ、本当ですか！　　　　　　　　
0x000405c1 じゃあ・・・。　　　　　　　　　
0x000405f0 治ったのか？　　　　　　　　　　
0x00040611 母さんも？　　　　　　　　　　　
0x00040632 ああ、よかった・・・。　　　　　
0x00040660 あんたの言うことなら　　　　　　
0x00040681 信じられるよ、ありがとう！　　　
0x000406b0 ワルキューレ様、何とお礼を　　　
0x000406d1 申し上げればよろしいか・・・。　
0x0004083c う〜ん・・・。　　　　　　　　　
0x0004085d ピラミッドに入るにゃ、　　　　　
0x0004087e あの怪物をどうにかしなくちゃ。　
0x000408ac まともに戦っても勝ち目はないし、
0x000408cd ‘神様の武器’までもう少し　　　
0x000408ee だってのになあ。　　　　　　　　
0x0004091c ワルキューレ・・・さん？　　　　
0x0004093d ご・・・ご無事だったんですかぁ！
0x0004096c いっ、いや〜あ、必ずご無事だと〜
0x0004098d 信じていましたよ！　　　　　　　
0x000409bc それにしても、まさかこんな所で　
0x000409dd お会いできるとは！　　　　　　　
0x00040a0c やっぱりあっし達はなにか、　　　
0x00040a2d ご縁があるんでしょうかねえ？　　
0x00040ab8 ええ、ええ、わかってますとも。　
0x00040ae8 こんな厳しい砂漠を渡るには、　　
0x00040b09 またなにかと物いりですもんねぇ。
0x00040b54 ‘神様の武器’の話はご存知です？
0x00040b84 何でも大昔の戦争の時、天上界の　
0x00040ba5 住人が心正しい者に与えたって言う
0x00040bc6 伝説の武器なんですが・・・。　　
0x00040bf4 どうやらゾウ・・・　　　　　　　
0x00040c15 いや、魔王がその力を恐れて、　　
0x00040c44 どこかにかくしちまった　　　　　
0x00040c65 らしいんですよ。　　　　　　　　
0x00040c94 その‘神様の武器’をかくした　　
0x00040cb5 場所ってのがこの先にある・・・　
0x00040ce4 ピラミッドなんだそうです。　　　
0x00040d14 ん・・・？へえ、　　　　　　　　
0x00040d35 コアクマンじゃねえか。　　　　　
0x00040d56 へええ・・・ふうん。　　　　　　
0x00040d84 じろじろ見るな。　　　　　　　　
0x00040da5 そんなにめずらしいか？　　　　　
0x00040dd4 ああ、めずらしいねぇ。　　　　　
0x00040df5 ひさしぶりにまともな目をした　　
0x00040e16 コアクマンを見たよ。　　　　　　
0x00040e44 ・・・。　　　　　　　　　　　　
0x00040e74 に、にらむなって・・・。　　　　
0x00040e95 あんた名前はなんてんだい？　　　
0x00040ec4 ・・・サビーヌ。　　　　　　　　
0x00040f98 ・・・あんたは　　　　　　　　　
0x00040fb9 ・・・邪悪の森で会った・・・。　
0x00040fda ・・・・・・・・・・・・・・。　
0x00041008 あ・・・ありが・・・とう。　　　
0x00041054 ・・・あの。　　　　　　　　　　
0x00041075 ・・・いや、何でもない。　　　　
0x000410b4 ・・・その分だとあんたも　　　　
0x000410d5 ピラミッドを目指している　　　　
0x000410f6 みたいだな。　　　　　　　　　　
0x00041124 もし・・・よかったら・・・。　　
0x00041154 ＜ワルキューレは黙って　　　　　
0x00041175 うなずいた。＞　　　　　　　　　
0x000411a4 うん、ありがとう。　　　　　　　
0x000411d4 ＜コアクマンが仲間になった！＞　
0x00041244 広大な土地を砂漠にして、　　　　
0x00041265 その中にピラミッドを作って、　　
0x00041286 オイラをその門番にして・・・　　
0x000412b4 いったい、　　　　　　　　　　　
0x000412d5 中には何があると　　　　　　　　
0x000412f6 いうんでしょうね？　　　　　　　
0x00041324 ‘神様の武器’といっても、　　　
0x00041345 なんのことやら・・・。　　　　　
0x00041374 くれぐれもお気をつけください。　
0x00041395 ワルキューレ様。　　　　　　　　
0x000413c4 この中は迷宮のように入り組み、　
0x000413e5 無数のワナや命を持たない　　　　
0x00041406 機械の兵で溢れかえっています。　
0x00041434 ワルキューレ様　　　　　　　　　
0x00041455 サンドランドの復興が一段落　　　
0x00041476 したら、きっとオイラも　　　　　
0x000414a4 あなたの後を追います。　　　　　
0x000414c5 あなた一人だけ戦わせておくことは
0x000414e6 できませんから・・・。　　　　　
0x00041514 またお会いできる時まで、　　　　
0x00041535 どうかお元気で・・・。　　　　　
0x000415d8 よう・・・まってたぜ。　　　　　
0x000415f9 ガキはこのとおり無事だ。　　　　
0x00041628 カケラはちゃんと持ってきたな？　
0x00041649 ようし・・・　　　　　　　　　　
0x0004166a おとなしくよこすんだ。　　　　　
0x00041698 ワルキューレ、カケラをかして。　
0x000416b9 大丈夫、うまくやるから。　　　　
0x000416e8 ＜サビーヌに月のカケラを　　　　
0x00041709 渡した。＞　　　　　　　　　　　
0x00041738 いいぞ、さあ渡せ。　　　　　　　
0x00041768 あせるなよ・・・それ！　　　　　
0x00041798 ＜サビーヌは月のカケラを全て　　
0x000417b9 大男に投げ渡した。＞　　　　　　
0x000417e8 くくく・・・これで全ての　　　　
0x00041809 カケラがオレの物になった！　　　
0x0004182a ははははは！　　　　　　　　　　
0x00041858 ワルキューレこれを・・・。　　　
0x00041888 ＜月のカケラを手に入れた！＞　　
0x000418b8 ふふ・・・あいつに渡した　　　　
0x000418d9 カケラは、全部石ころに魔法を　　
0x000418fa かけて作ったニセモノだよ。　　　
0x00041928 あいつめ！　　　　　　　　　　　
0x00041949 ぜんぜん気付かずに持って　　　　
0x0004196a 行っちゃった！　　　　　　　　　
0x00041998 でもあいつが持ってるうちの、　　
0x000419b9 一つだけは、本物であることに　　
0x000419da かわりはないけどね・・・。　　　
0x00041a08 ワルキューレ、あいつを　　　　　
0x00041a29 追いかけて！きっとあなたが　　　
0x00041a4a 来た道を戻るはずだ。　　　　　　
0x00041a78 もしニセモノに気づいたら、　　　
0x00041a99 今度はもっとひどい事を　　　　　
0x00041aba やるかもしれない！　　　　　　　
0x00041ae8 ああ、サンドラの子なら　　　　　
0x00041b09 心配ないよ。　　　　　　　　　　
0x00041b2a ちゃんと親元に返しておくから。　
0x00041b58 ・・・またどこかで会おう。　　　
0x00041b79 出来れば今度は、平和になった　　
0x00041b9a 世界のどこかで・・・。　　　　　
0x00041cc8 ＜新月王の祭壇だ＞　　　　　　　
0x00041cf8 ＜ここに月のカケラは　　　　　　
0x00041d19 ないらしい。＞　　　　　　　　　
