
0x0017f05a このままゲームを始める。
0x00366702 ウッドシールド　木製なので軽く^v
0x00366850 て動きやすいが防御能力は低い。
0x00366870 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x003668b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x003668f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x00366932 ゴールドシールドこの盾は最強の盾といえるだろう。
0x00366964 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x00366994 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x003669c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x003669f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x00366a24 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x00366a54 無敵　　　　　　一定時間無敵！！
0x00366a76 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x00366ab2 スパイクブーツ　氷の上でも滑らない。
0x00366ad8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x00366b1a ツルハシ　　　　
0x00366b2c ダガー　　　　　投げナイフ。
0x00366b4a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x00366b82 オレンジ　　　　体力が２０回復する。
0x00366ba8 チェリー　　　　体力が５０回復する。
0x00366bce リンゴ　　　　　体力が完全回復する。
0x00366bf4 金塊　　　　　　
0x00366c06 エリクサー　　　復活剤。
0x00366c20 ブーメランＤＸ　ブーメランのパワーアップ型。

0x00367fda プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x0036801e プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド
0x00368062 プラズマシールドPウォーターミラーPバトルシールド　煬ｶ影の腕輪　

0x00381839 いらっしゃいませご用件は？　　　
0x00381861 　　売る　
0x00381873 　　説明
0x0038187d 他にも何かご用がございますか？　
0x003818a5 　　売る　
0x003818b7 　　説明
0x003818c3 どれをお求めに　なりますか？
0x003818e1 　でよろしい　　　　　　ですか？
0x00381902 　ＹＥＳ
0x00381914 あなたはそのアイテムをこれ以上持てません。
0x00381940 お金が足りません
0x00381954 ありがとうございました。
0x0038196e 何を売っていただけますか？
0x0038198a になります。　　
0x0038199b 　ＹＥＳ
0x003819ad これ以上　売れるものがありません
0x003819cf 治療に　　　　　ゴールド必要です治療しますか？　
0x00381a00 　ＹＥＳ
0x00381a12 どこにも異常は　ないようです。
0x00381a32 お大事に‥‥。
0x00392800 テヌャ

0x00398d80 ブラッキィ
0x00398dac 赤マントの男
0x00398dd2 僕を、町まで連れてってくれよ。もし、連れてってくれたら
0x00398e09 それなりの金は、払うからさぁ。
0x00398e29 ふうん。
0x00398e32 実はあたし、賞金稼ぎなのよ。
0x00398e4f このジャングルに来た訳も
0x00398e68 賞金首になっているマテリアルを探しているからなの。
0x00398e9c あんたがその賞金よりも、
0x00398eb5 もし、多く金を出してくれるっていうのなら、考えてもいいわ。
0x00398efb 冗談じゃない！
0x00398f0a そんなに、持ってるわけない
0x00398f25 だろ！！
0x00398f38 仕方がない。
0x00398f45 町にいくのはあきらめるよ。
0x00398f62 そのかわり早く助けを呼んできてくれないか。
0x00398f8d いつまでも、こんな
0x003990da ないからね。
0x003990f0 おかしいわねぇ。
0x00399101 あんたの仲間に、知らせておいたのに…。
0x0039912a 何やってんのかしら…。
0x00399145 ﾞ･メイル、いつになったら、
0x00399160 助けを呼んでくれるんだい？
0x0039917b 頼むから、早く呼んで来てくれ！

0x003991a8 ｪあなた、よその人ね。
0x003991be 戦士みたいな格好して、女なら
0x003991db やっぱり、女らしくしなくちゃ
0x003991f8 だめよ。
0x00399208 ｪまた、ブラッキィさんが、いなくなったのよ。
0x00399234 一体、どれだけ私たちに心配を
0x00399251 かければ、気がすむのかしら。
0x0039926e あなた、魔法使いね。
0x00399283 男ならやっぱり、たくましい
0x0039929e 戦士じゃなくちゃ。
0x003992b1 あなた、怪獣ね。
0x003992c2 私、怪獣は好きじゃないの。
0x003992e3 5あなた、行方不明になった
0x003992fd ブラッキィさんを見つけて
0x00399316 くれたんですって？
0x00399329 だったら、何で一緒に連れてきてくれなかったのよ！
0x0039935c あなた賞金稼ぎらしいけど、
0x00399377 お金にしか興味のない、
0x0039938e 冷たい人間なのね。
0x003993a1 ブラッキィさん、どうしている
0x003993be かしら…。
0x003993c9 まったく、ブラッキィさんたら、何やってるのかしら…。
0x003993fe みんなに、心配かけて…。
0x00399427 爆弾？
0x0039942e そういえばブラッキィさん、
0x00399449 作るのが得意だったわねぇ。
0x00399464 でも、たくさん作ったら、
0x0039947d 巨大な魔物に盗まれたとか
0x00399496 言ってたわ。
0x003994b4 巨大な魔物ってもしかして
0x003994cd この森の出口の近くにいた、
0x003994e8 あの爆弾を投げる奴かな？
0x00399502 巨大な魔物ってもしかして
0x0039951b ファイアの魔法がきかなかった、あの爆弾を投げる魔物かな？
0x0039955d あら、こんな所に、よその人が
0x0039957a くるなんて珍しいわね。
0x00399593 そういえば、何日か前にも赤い
0x003995b0 マントをはおった男の人が、
0x003995cb 来たっけ。
0x003995d8 なんでも、自分のお師匠様を
0x003995f3 探しているとかいって、奥に
0x0039960e 進んでいったわ。
0x00399621 でも、このジャングルの奥には、そのへんにいる魔物とは、
0x00399658 比べものにならないくらい
0x00399671 恐ろしい魔物がいるのよ。
0x0039968c 大丈夫かしらね…。
0x003996ad こんな所に珍しいわね。
0x003996c4 何しに来たの？
0x003996d3 あら、
0x003996da こんな所に珍しいわね。
0x003996f1 何しに来たの？
0x00399700 あら、あなた誰？
0x00399711 ヌイグルミなんかかぶって
0x0039972a 暑くないの？
0x00399738 ヌイグルミじゃないガウ！
0x00399751 オレは、怪獣ガウ！！
0x00399768 ･ぼくらの他にも、仲間がいたんだけど、みんな魔物にやられて
0x003997a2 しまったんだ。
0x003997b1 僕らが、ふがいないばっかり
0x003997d5 ･そこの穴を通れば、上へ、行けるようになっている。
0x00399807 気をつけていきなよ。
0x0039981e ･この村は、大きな木の下にある
0x0039983c からたまに、魔物が落ちて
0x00399855 くるんだ。
0x00399860 その魔物を退治するのが、俺達の役目さ。
0x00399887 でも、
0x003998b1 落ちてくるとは思わなかったよ。

0x00399a0a ｰ竺竺えっ、ブラッキィが抜け出し
0x00399a2a たって！？
0x00399a35 いつか、この村を出て行って
0x00399a50 やると言っていたが、ついに
0x00399a6b 出て行ったか…。
0x00399a7d でも彼、何も武器を持ってない
0x00399a9a から、そのうち魔物にやられて
0x00399ab7 しまうわ。
0x00399ac2 だから、あなた達が助けてあげてくれないかしら。
0x00399af3 ･わかったよ。
0x00399b01 早速、仲間と一緒に助けに
0x00399b1a 行くよ。
0x00399b23 ところで、ブラッキィは、
0x00399b3c 今どこにいるんだい？
0x00399b52 このジャングルを、左に行った
0x00399b6f 所の木の上に、隠れているわ。.
0x00399bb0 なっちゃったよ。
0x00399bc1 あいつには、ホント手を
0x00399bd8 やくよな。
0x00399bef ｰやぁブラッキィを、助けて
0x00399c09 来たよ。
0x00399c12 まったく、人騒がせなヤツ
0x00399c2b だよな。
0x00399c3e ･やぁ、こんなジャングル奥地の
0x00399c5c 村にお客さんが、来るなんて
0x00399c77 珍しいな。
0x00399c82 僕は、この下にある村に、魔物が落ちないように見張りをして
0x00399cbb いるんだ。
0x00399cc9 ﾖ･おや、君は誰だい？
0x00399cde こんな所で、何をしているん
0x00399cf9 だい？
0x00399d01 あたしは、メイル。
0x00399d14 賞金稼ぎよ。
0x00399d21 賞金首のマテリアルを、探しに
0x00399d3e ここまで来たの。
0x00399d54 賞金稼ぎかい？
0x00399d65 じゃあ、マリオネット強盗団
0x00399d80 というのを知らないかい？
0x00399d9b 最近、そいつらがこの辺りに
0x00399db6 現れて、村の人達が被害にあっているんだ。
0x00399ddf $	それで俺は、そいつらを追って
0x00399dfe いるんだ。
0x00399e0a マリオネット強盗団…
0x00399e1f ですって！？
0x00399e2c あたしも、この村へ来る途中に
0x00399e49 あと一歩という所まで追いつめ
0x00399e66 たんだけど、逃げられちゃった
0x00399e83 のよ。
0x00399e8b ﾖ･そうか…。
0x00399e98 実は、俺の村も被害にあってね。やつらには、困りはてて
0x00399ecd いるんだ。
0x00399eda 俺の名は、ナモ。
0x00399eeb もしやつらの足取りでも
0x00399f02 つかめたら教えてくれ。
0x00399f1c あんたにそんなこと教えて
0x00399f35 あたしになんか得でもあんの？
0x00399f57 俺は大樹木の塔の村一番の
0x00399f70 力自慢さ。
0x00399f7b 何か、役に立てることもきっと
0x00399f98 あるさ。
0x00399fa6 ｦがんばってメイルも、
0x00399fbc マテリアルのヤツを捕まえて
0x00399fd7 くれよ。
0x00399fe0 あんなやつらを、野放しに
0x00399ff9 しては、絶対にいけない。
0x0039a017 ｦ俺も、もう少ししたら村に
0x0039a031 戻らないと、村の仲間が心配するからな。
0x0039a05d どこからか男の叫び声が、
0x0039a076 聞こえてくる。
0x0039a090 助けてくれー！！
0x0039a0a2 $Oおかしいわね。
0x0039a0b3 確かに人の声が、聞こえたんだ
0x0039a0d0 けど…。
0x0039a0d9 $P空耳だった…かな？
0x0039a0ef ﾖ･$Qおーい。
0x0039a0fd 上だよ、
0x0039a107 上！
0x0039a10d $Rあんた、そんなとこで何やってんのよ。
0x0039a134 $Sボヤボヤしていると、魔物の
0x0039a151 えじきになっちゃうわよ！
0x0039a16b ﾖ･$T僕だって、いたくているんじゃ
0x0039a18c ないよ。
0x0039a195 $Uしかし、次々と魔物が襲ってきて逃げきれず、ここから動けなく
0x0039a1d2 なっちゃったんだ。
0x0039a1e5 $Vあのさー、ジャングルを少

0x0039a330 ｵ奥にいったところに、僕の住んでいた村があるんだけど、助けを呼んで来てくれないかなぁ？
0x0039a387 $W情けないわねぇ。
0x0039a39a $Xそんなことならその村から
0x0039a3b5 出てこなけりゃ、いいじゃない。
0x0039a3d5 ﾞ･$Y僕は、あんな何もない村に
0x0039a3f2 うんざりして出てきたんだ。
0x0039a40d $Z町に出て、楽しく暮らし
0x0039a426 たいんだ。
0x0039a431 $[あのさー、あんた女なのに
0x0039a44c ここまでひとりでこれるんだから強いんだろ？
0x0039a477 $¥頼むから僕を、町まで連れてってくれないかなぁ？
0x0039a4a9 $]何言ってんのよ！
0x0039a4bc こんなジャングル、一人で
0x0039a4d5 抜けられないくらいなら、
0x0039a4ee $^村に戻って、おとなしく
0x0039a507 暮らしてりゃいいのに！
0x0039a51e あんた、名前は？
0x0039a530 ﾞ･$_ブラッキィ、
0x0039a541 ブラッキィってんだ。
0x0039a556 はやく、助けてくれよー！！
0x0039a578 おや、珍しい。
0x0039a58a こんな所で人に、しかも女の人に会うなんて…。
0x0039a5b9 ねぇ君、一体どうしてこんな所にいるんだい？
0x0039a5e7 あたしはこの国の賞金首になっているマテリアルって魔導師を
0x0039a620 捕まえにきたの。
0x0039a633 ねぇ。
0x0039a63a あんた知らない？
0x0039a650 うん。
0x0039a657 実はその魔導師というのは僕の
0x0039a674 お師匠様なんだ。
0x0039a687 昔のお師匠様は、皆に慕われる
0x0039a6a4 素晴らしい人だった。
0x0039a6b9 なのに最近、急におかしく
0x0039a6d2 なられて…。
0x0039a6e1 だから僕は、お師匠様を、
0x0039a6fa 説得するため探しているんだ。
0x0039a717 何でも、この先の大樹木の塔に
0x0039a734 いるらしいんだけど、
0x0039a74b この上にいる魔物に、僕の
0x0039a764 ファイアの魔法が、効かなくて
0x0039a781 困っているんだ。
0x0039a795 なんだ、だから、こんな所で、
0x0039a7b2 つっ立ってたのか。
0x0039a7c7 そんなの、あたしにかかれば
0x0039a7e2 楽勝よ。
0x0039a7ed まかせなさい！！
0x0039a805 ｼくれぐれも気をつけて…。
0x0039a82d やつを倒したのかい！
0x0039a842 スゴイなあ。
0x0039a851 よし、さっそく大樹木の塔に
0x0039a86c 行ってみよう。
0x0039a87b $ どうもありがとう。
0x0039a890 えーと…、君、名前は？
0x0039a8a8 $!あたしは、メイル。
0x0039a8bd 賞金稼ぎのメイルよ。
0x0039a8d4 ｦ$"メイルか。
0x0039a8e2 僕は、魔法使いのタットって
0x0039a8fd いうんだ。
0x0039a908 $#まだ、修業中の身だけどね。
0x0039a925 じゃあメイル、機会があったら
0x0039a942 また会おう。
0x0039a953 ｦ$$お〜い！！
0x0039a961 待ってくれよー！！
0x0039a976 ｦひどいなぁ、魔物を倒せたんなら教えてよ。
0x0039a9a0 でも、スゴイなぁ。
0x0039a9b3 あっさり倒しちゃうんだもの。
0x0039a9d0 でも、これで大樹木の塔へ
0x0039a9e9 行けるよ。
0x0039a9f8 ﾞ･君のおかげで、無事村に戻る
0x0039aa15 ことが出来たよ。
0x0039aa26 でも、僕はいつか町へ行って
0x0039aa41 やるんだ。

0x003c1fce ショートソード　軽量で扱いやすい剣。しかし、殺傷能力は低い。
0x003c200c ロングソード　　長さ１ｍほどの長剣。化物の多い洞窟内では必需品。
0x003c204e ファルシオン　　鋼鉄でできた大きめの剣。攻撃力はなかなかのもの。
0x003c2090 フレイムソード　炎でつくられた剣その使いやすさと殺傷能力は保証付
0x003c20d2 ライトセイバー　現存する剣の中で最強を誇る剣。
0x003c2102 ファイアの魔法　進行方向へ連射できる。どんな場所でも有効である。
0x003c2144 ファイア　ＤＸ　ファイアの魔法が３つに分裂する。
0x003c2176 サンダーの魔法　雷の槍が敵を　　貫通
0x003c219c ホーミング　　　最高６個の弾が敵を追う。ただし効かない敵もいる。
0x003c21de フォース　　　　自らの魔力を弾にして敵に放つ。
0x003c220e ファイアボール　体内にためた炎を吹き出す。
0x003c223a テイルアタック　強力な回転と尻尾で敵に大きなダメージをあたえる。
0x003c227c アックス　　　　敵を一刀両断に　切り裂く強力な　武器。
0x003c22b4 アイアンクロー　鋭い爪で敵を切り刻む。
0x003c22dc ファイアブレス　体内にためた力を一気に放つ。　　威力絶大
0x003c2316 レザーアーマー　馬の革を何枚も重ねてある。　　　防御能力は低い。
0x003c2358 チェーンメイル　鎖で編まれていて丈夫にできている役にたつだろう。
0x003c239a プレートメイル　鋼鉄でできてるので重いが多少の攻撃なら充分戦える
0x003c23dc ミスリルアーマー数多くの敵と闘うにはこれくらいの鎧は必要である。
0x003c241e ゴールドアーマー現代の技術では最高の強度を持つ鎧である。
0x003c2458 レッドローブ　　魔法使いのマント
0x003c247a ブルーローブ　　魔法使いのマント
0x003c249c イエローローブ　魔法使いのマント
0x003c24be シルバーローブ　魔法使いのマント
0x003c24e0 ゴールドローブ　魔法使いのマント
0x003c2502 ウッドシールド　木製なので軽くｲ

0x003c2650 て動きやすいが防御能力は低い。
0x003c2670 スモールシールドウッドシールドより少し小さいがなかなか丈夫である
0x003c26b2 ラージシールド　スモールシールドと同じ材質の少し大きめの盾。
0x003c26f0 ミスリルシールドこの盾は敵の攻撃を防ぐには充分な効力を持っている
0x003c2732 ゴールドシールドこの盾は最強の盾といえるだろう。
0x003c2764 ブロンズミラー　魔法の力で敵の攻撃を跳ね返す。
0x003c2794 メタルミラー　　魔法の力で敵の攻撃を跳ね返す。
0x003c27c4 プラチナミラー　魔法の力で敵の攻撃を跳ね返す。
0x003c27f4 ミスリルミラー　魔法の力で敵の攻撃を跳ね返す。
0x003c2824 ゴールドミラー　魔法の力で敵の攻撃を跳ね返す。
0x003c2854 無敵　　　　　　一定時間無敵！！
0x003c2876 ヘルメット　　　一定時間上空からの攻撃を防ぐことができる。
0x003c28b2 スパイクブーツ　氷の上でも滑らない。
0x003c28d8 石靴　　　　　　トゲの上でも平気で歩ける。ただしジャンプ力下がる
0x003c291a ツルハシ
0x003c292c ダガー　　　　　投げナイフ。
0x003c294a ブーメラン　　　回転しながら手元にもどってくる、武器。
0x003c2982 オレンジ　　　　体力が２０回復する。
0x003c29a8 チェリー　　　　体力が５０回復する。
0x003c29ce リンゴ　　　　　体力が完全回復する。
0x003c29f4 金塊
0x003c2a06 エリクサー　　　復活剤。
0x003c2a20 ブーメランＤＸ　ブーメランのパワーアップ型。
0x003c2b35 広縞

0x003c3dc9 アイアンソード
0x003c3dda プラズマブレードPウォータービームPロッククラッシュ@アイアンアーマー
0x003c3e1e プラズマアーマーPアクアローブ　　Pバトルアーマー　@アイアンシールド

0x003dd639 いらっしゃいませご用件は？
0x003dd65a 　買う
0x003dd661 　　売る
0x003dd66c 　治療
0x003dd673 　　説明
0x003dd67d 他にも何かご用がございますか？
0x003dd69e 　買う
0x003dd6a5 　　売る
0x003dd6b0 　治療
0x003dd6b7 　　説明
0x003dd6c3 どれをお求めに　なりますか？
0x003dd6e1 　でよろしい　　　　　　ですか？
0x003dd702 　ＹＥＳ
0x003dd70e ＮＯ
0x003dd714 あなたはそのアイテムをこれ以上持てません。
0x003dd740 お金が足りません
0x003dd754 ありがとうございました。
0x003dd76e 何を売っていただけますか？
0x003dd78a になります。
0x003dd79b 　ＹＥＳ
0x003dd7a7 ＮＯ
0x003dd7ad これ以上　売れるものがありません
0x003dd7cf 治療に　　　　　ゴールド必要です治療しますか？
0x003dd800 　ＹＥＳ
0x003dd80c ＮＯ
0x003dd812 どこにも異常は　ないようです。
0x003dd832 お大事に‥‥。

0x003f4bb2 兵士
0x003f4bbc ナモ

0x003f4bd0 捕まっていた男
0x003f4be2 ｿｪところで君は誰だい？
0x003f4bfa あたしはメイル。
0x003f4c0b 賞金稼ぎよ。
0x003f4c18 賞金首のマテリアルを
0x003f4c2d 追っているの。
0x003f4c3c 俺はナモ。
0x003f4c47 この上の村に住んでいる者さ。
0x003f4c64 最近、マリオネット強盗団が、
0x003f4c81 この辺りに現れて、村の人たちが被害にあっているんだ。
0x003f4cb6 こう見えても俺は、村一番の力
0x003f4cd3 自慢さ。
0x003f4cdc それで、やつらを退治して
0x003f4cf5 やろうと意気込んで
0x003f4d08 来たんだけど、ふいをつかれて
0x003f4d25 ここに閉じこめられて
0x003f4d3a しまったんだ。
0x003f4d49 助けてくれたお礼をしたい。
0x003f4d64 俺の村まで、
0x003f4d71 一緒に来てくれないか。
0x003f4d94 メイルじゃな

0x003f4ed0 いか！！
0x003f4eda ｿｪ$*村へ帰ろうとしたら、
0x003f4ef3 ふいをつかれて、例の強盗団の
0x003f4f10 手下に、閉じ込められて
0x003f4f27 しまったんだ。
0x003f4f36 $+とりあえず、君に助けてもらったお礼がしたい。
0x003f4f65 $,この近くに、俺の仲間がいる
0x003f4f82 村があるから、
0x003f4f91 そこまで一緒に来てくれないか。
0x003f4fb2 ｦあのレバーを動かさないと、
0x003f4fce 村への扉が開かないんだよ。
0x003f4fe9 ちょっと、開けてくるから、
0x003f5004 ここで、待ってくれ。
0x003f501b ｦあぁ、ビックリした。
0x003f5031 思いっきり力いれたら、
0x003f5048 コケちゃったよ。
0x003f505b さぁ、開いたぞ。
0x003f506c メイル、俺の村へ行こう！！
0x003f508c 牢屋の奥で男の声が聞こえて来る
0x003f50b2 $%誰か、そこにいるのか！？
0x003f50cd 頼む！
0x003f50d4 助けてくれ！！
0x003f50e3 $&上にいる魔物が、この牢屋の
0x003f5100 カギを持っているんだ。
0x003f511a 魔物から手に入れたカギを使うと牢屋の扉が開いた。
0x003f514d ｦこ、これは硬いスイッチだな…。うーん、それっ！！
0x003f5181 ｦうわっ！！！
0x003f518f $(君が外にいた魔物を、
