
0x0011417f ファイアー
0x0011aaaf ブキミなやつだったよな。
0x0011aace ［メネア］
0x0011aadd ひょっとすると・・
0x0011aaf2 アイツが近ごろウワサの人さらいだったりして。
0x0011ab21 キャッ、あたし、こわぁい。
0x0011ab42 ［サムス］
0x0011ab51 だいじょうぶだよ、メネア。
0x0011ab6e キミはこのボクがかならず守ってあげるよ。
0x0011ab9d ［メネア］
0x0011abac まぁっ、サムスったら・・・。
0x0011abcf ［フレイ］
0x0011abe0 まさか本当にラトク　さんが・・・？
0x0011ac05 ううん、そんなコトありえない！どいてっ！
0x0011ac34 ［フレイ］
0x0011ac43 ラトクさんの無実、　
0x0011ac58 この私がはらしてみせるわ！
0x0011ac79 ［サムス］
0x0011ac88 メネア・・・
0x0011ac9b ［メネア］
0x0011acaa サムス・・・
0x0011acbd ［フレイ］
0x0011accc ・・・ルスかな？
0x0011ace3 ［フレイ］
0x0011acf2 う゛う゛う゛・・・。
0x0011ad07 早く向こうへ行きたいのにぃ！
0x0011ad2a ［門番］
0x0011ad37 あ〜ダメダメ。その門は開きませんよ。
0x0011ad62 ［フレイ］
0x0011ad71 なんでよぉ！？
0x0011ad86 ［門番］
0x0011ad93 ですから、私の話を最後
0x0011adaa まで聞いてくださいよ。
0x0011adc7 ［フレイ］
0x0011add6 どういうコトよ！？
0x0011adef ［門番］
0x0011adfc このあたりもモンスター
0x0011ae13 が多くなりましてねぇ。
0x0011ae2c 危険なので、ふだんは開けないよ
0x0011ae4b うにしてるんですよ。
0x0011ae66 ［フレイ］
0x0011ae75 私はいそいでんの！
0x0011ae8a 開けてくんないんだったら、この
0x0011aea9 門ブッこわしちゃうから！
0x0011aec8 ［門番］
0x0011aed5 お、おねがいです。それだけはごカンベンを！
0x0011af04 町が、町が・・・
0x0011af1b ［フレイ］
0x0011af2a じゃあ、開けてくれるのね。
0x0011af4b ［門番］
0x0011af5a そ、それは・・・
0x0011af6f そうだ、町長がＯＫすれば開けて
0x0011af8e もいいですよ。
0x0011afa3 ［フレイ］
0x0011afb2 町長さんに言えばいいのね。わかったわ。
0x0011afdf ［おばさん］
0x0011aff0 いいわねえ〜、魔法使いは。
0x0011b00d あたしもテレポートの魔法が使えたらねぇ。
0x0011b03c ［おじさん］
0x0011b04d アルセイデスさまの
0x0011b060 たたりだかなんだか知らんが、
0x0011b07f 町の者はいい迷惑してるよ。
0x0011b0a0 ［おじいさん］
0x0011b0b3 近ごろはアーザス
0x0011b0c4 平原もブッソウになったのう。
0x0011b0e7 ［フレイ］
0x0011b0f6 ねぇ、おじさん。
0x0011b107 レイジアの村ってどっち？
0x0011b126 ［門番］
0x0011b133 この門がレイジアに通じ
0x0011b14a てますよ。でも・・・
0x0011b165 ［フレイ］
0x0011b174 ここから行けるのね。おじさん、ありがとー！
0x0011b1a5 ［門番］
0x0011b1b2 あ、あの、まだ話のつづきが・・・
0x0011b1d9 ［フレイ］
0x0011b1e8 わかってるってば！
0x0011b1fd この門からレイジアの村へ行けるんでしょ。
0x0011b22c ［門番］
0x0011b239 い、いや、確かにそれは
0x0011b250 そうなんですけども・・・
0x0011b26f ［門番］
0x0011b27c どうです？　町長の許可
0x0011b293 はおりましたか？
0x0011b2a8 町長の家・・・
0x0011b2b8 ですか？
0x0011b2c3 南にある、何も看板が出ていない
0x0011b2e2 建物がそうですよ。
0x0011b2fb ［門番］
0x0011b308 町長から話は聞いており
0x0011b31f ます。どうぞ、お気をつけて。
0x0011b342 ［サムス］
0x0011b351 さっき言ってたヤツなら、レイジアの村じゃないか？
0x0011b388 ［メネア］
0x0011b397 あたしたちがその人を見たのは、レイジアの村よ。
0x0011b3cc ［フレイ］
0x0011b3db もうっ、なんでこんな
0x0011b3f0 目にあわなきゃなんないのよ！
0x0011b413 ［フレイ］
0x0011b424 あらららー・・・・・
0x0011b43b これじゃ確かに渡れないわね。
0x0011b45e ［フレイ］
0x0011b46d いったい、何があったんですか？
0x0011b492 ［おにいさん］
0x0011b4a5 それがよ、２、３
0x0011b4b6 日くらい前だったかなー・・・
0x0011b4d5 青い髪した兄ちゃんが来て、ここ
0x0011b4f4 を・・・
0x0011b503 ［フレイ］
0x0011b512 ラトクさんが『この橋
0x0011b527 を壊した』ですってぇ！？
0x0011b546 ［おにいさん］
0x0011b55b ・・・へ！？
0x0011b56e ［フレイ］
0x0011b57d ラトクさんがそんなコト
0x0011b594 するハズないでしょぉー！！
0x0011b5b1 そんなコトゆー人はぁ！
0x0011b5c9 こーして、こーしてっ・・・
0x0011b5ea ［おにいさん］
0x0011b5ff じょ、じょうちゃ
0x0011b610 ん・・・ぐるじ・・・・・
0x0011b62f ［フレイ］
0x0011b640 ・・・はっ！！
0x0011b653 ねぇっ、おにいさん！
0x0011b669 だいじょうぶ！？
0x0011b680 ［フレイ］
0x0011b68f あらら〜、完全にノビちゃってるわ。
0x0011b6b4 ま、とりあえず息はしてるようだ
0x0011b6d3 から、いっかぁ。
0x0011b6ea ［アヤシイ男］
0x0011b6fd ・・・ふむふむ。
0x0011b710 ここで体をひねって、そしてアッ
0x0011b72f パーか。なるほど。
0x0011b744 技のコピーも、これでなかなか骨
0x0011b763 が折れるものだな。
0x0011b77c ［フレイ］
0x0011b78d あっ！！
0x0011b79c ［サムス］
0x0011b7ab やっと２人っきりにな
0x0011b7c0 れたね、メネア。
0x0011b7d3 うまく、この村の人間になりすませたようだし。
0x0011b802 もうだれにもジャマされないね。
0x0011b827 ［メネア］
0x0011b838 ああ、サムス・・・。
0x0011b853 ［フレイ］
0x0011b864 うふふ、そっとして　おいてあげよっと。
0x0011b891 ［フレイ］
0x0011b8a2 まだいる・・・
0x0011b8b7 ［メネア］
0x0011b8c6 あのね、サムス。
0x0011b8dd ［サムス］
0x0011b8ec なんだい、メネア。
0x0011b905 ［メネア］
0x0011b914 あのね、あたし・・・
0x0011b92f ［サムス］
0x0011b93e 言ってごらんよ、メネア。
0x0011b95d ［メネア］
0x0011b96e あ、あたし・・・
0x0011b985 ［フレイ］
0x0011b996 いらいらいらいらいら
0x0011b9ad いらいらいらいらいらいらいら
0x0011b9d0 ［サムス］
0x0011b9df 愛してるよ、メネア。
0x0011b9fa ［メネア］
0x0011ba09 あたしもよ、サムス。
0x0011ba24 ［フレイ］
0x0011ba35 あ゛ーーーーーーーー
0x0011ba4c もう見てらんないわ。
0x0011ba67 ［フレイ］
0x0011ba76 もしもーし。
0x0011ba89 ［フレイ］
0x0011ba98 えーん、目をさましてよー。
0x0011bab9 ［格闘家］
0x0011bac8 うおおおおおおお！！
0x0011bae3 ［格闘家］
0x0011baf2 ・・・ふぅ。
0x0011bb05 ［おじいさん］
0x0011bb18 橋はなくなるし、
0x0011bb29 村の外はモンスターだらけ。
0x0011bb46 わしらはこれから、どうやって生
0x0011bb65 きていけばええんじゃ。
0x0011bb82 ［おばさん］
0x0011bb93 困ったことがあったら、村長さんに
0x0011bbb4 聞くといいよ。
0x0011bbc9 ［おじさん］
0x0011bbda 最近は、船が出せなくてヒマだなぁ。
0x0011bc03 ［アイザック］
0x0011bc16 ここからヴァルア
0x0011bc27 の町へ行ってもらおうと思うが
0x0011bc46 準備はいいかの？
0x0011bc5c ［アイザック］
0x0011bc6f はやくせんか！
0x0011bc84 ［アイザック］
0x0011bc97 うむ。では始めるとするかの。
0x0011bcba ［フレイ］
0x0011bccb あ、あの・・・。
0x0011bce0 なにも起こらないようなんですけ
0x0011bcff ども？
0x0011bd0c ［アイザック］
0x0011bd1f やや、少し呪文を間違えとったようじゃな。
0x0011bd4e ［フレイ］
0x0011bd5d 本当はムリなんじゃないの？
0x0011bd7e ［アイザック］
0x0011bd91 まかせておけ。　今度はだいじょうぶじゃ。
0x0011bdc0 ［アイザック］
0x0011bdd3 水の導き主たるレイトゥーンよ！！
0x0011bdf6 我が呼びかけにこたえよ！
0x0011be11 我が身を門とし、大いなる力によりて
0x0011be34 道を開け！
0x0011be45 ［アイザック］
0x0011be58 と、まあざっとこんなモンじゃ。
0x0011be7d ［フレイ］
0x0011be8e ・・・すっご〜い。
0x0011bea7 ［アイザック］
0x0011beba さあ、娘よ！
0x0011bec9 この道をとおり、ヴァルアの町へ
0x0011bee8 行くのだ！　薬を頼んだぞ。
0x0011bf09 ［フレイ］
0x0011bf18 はい！
0x0011bf25 ［アイザック］
0x0011bf38 どうした、早く行かんか。
0x0011bf57 ［フレイ］
0x0011bf68 で、でも・・・
0x0011bf7a これ、ちょっと高くない？
0x0011bf99 ［フレイ］
0x0011bfa8 ここ、危ないから気をつけないと。
0x0011bfcd 　　（ずるっ☆）
0x0011bfe4 ［フレイ］
0x0011bff7 きゃぁぁぁ〜っ！
0x0011c00c ［声］
0x0011c019 娘さん、娘さん。
0x0011c02e あなたが落としたのは、金のロッドかしら？
0x0011c05b それとも銀のロッド？
0x0011c076 ［フレイ］
0x0011c087 ・・・・・・？
0x0011c09c ［声］
0x0011c0a9 もう、じれったいわね！
0x0011c0c6 あなたが落としたのは、この金のロッド？
0x0011c0f1 ［声］
0x0011c0fe じゃあ、銀のロッド？
0x0011c118 ［声］
0x0011c125 あら、スナオね！
0x0011c13a そーゆーヒトってぇ、あたしケッ
0x0011c15b コウ尊敬しちゃう、みたいな。
0x0011c17e ［声］
0x0011c18b さっきはちょっと、やりすぎだったかな。
0x0011c1b6 いくら持ってたか知らないけど、これでカンベンね。
0x0011c1ed ［声］
0x0011c1fa ウソばっか、ゆって！
0x0011c213 あなたみたいな大ウソつき、
0x0011c22e 許しておけないってかんじ！
0x0011c24f ［フレイ］
0x0011c260 きゃあああっ！！
0x0011c275 ［フレイ］
0x0011c284 あ〜〜〜〜〜、死ぬかと思った。
0x0011c2a5 ミルの病気がうつっちゃったのかしら？
0x0011c2ce ・・・
0x0011c2d6 だれも見てなかったわよね
0x0011c2ef ・・・。
0x0011c2fe ［フレイ］
0x0011c30f ・・・あ、あ〜、
0x0011c322 今日もいい天気ねぇ〜。
0x0011c33f ［アイザック］
0x0011c352 見ておったぞ。
0x0011c367 ［フレイ］
0x0011c376 あぁ〜ら、アイザック
0x0011c38b 先生じゃありませんこと？
0x0011c3a6 いったい、なにを見てらしたんですかぁ？
0x0011c3d3 ［アイザック］
0x0011c3e6 わしには少し先の
0x0011c3f7 ことが見える力があっての。
0x0011c414 なにか面白そうなものが見えそう
0x0011c433 なんで来てみたら・・・
0x0011c450 ［フレイ］
0x0011c45f 先生、おねがひっ！　このことはだまってて！
0x0011c490 ［アイザック］
0x0011c4a3 ま、いいがの。
0x0011c4b4 おまえさんを見ていると、昔のア
0x0011c4d3 イツを思い出すようじゃわい。
0x0011c4f6 ［フレイ］
0x0011c507 アイツって・・・？
0x0011c520 ［アイザック］
0x0011c533 それは別にいいとして、じゃ。
0x0011c552 おまえさん、そのカッコウではカ
0x0011c571 ゼをひいてしまうぞ。
0x0011c588 どれ、わしが・・・
0x0011c5a1 ［フレイ］
0x0011c5b0 きゃぁぁぁ〜〜〜っ！だれかぁぁぁ〜〜〜っ！
0x0011c5e1 ［アイザック］
0x0011c5f4 これ！　なにをカンちがいしておる！
0x0011c619 こうするんじゃよ。
0x0011c632 ［アイザック］
0x0011c645 うむ、これでかわいたじゃろ。
0x0011c664 ほれ、はやく村長に薬をとどけて
0x0011c683 やらんか。
0x0011c694 ［村長］
0x0011c6a1 はい？
0x0011c6ae ［村長］
0x0011c6bb なんでしょうか？
0x0011c6d2 ［フレイ］
0x0011c6e1 実は、かくかくしかじか・・・
0x0011c700 というワケで、なんとか湖をわた
0x0011c71f りたいのですが・・・。
0x0011c73c ［村長］
0x0011c749 なるほど。
0x0011c756 ですが、橋はごらんになったとお
0x0011c775 りですし・・・
0x0011c786 モンスターが現れてからは、
0x0011c7a3 レイティア湖をわたる船もありません。
0x0011c7ce ［フレイ］
0x0011c7dd ラトク・カートってい
0x0011c7f2 う人がここに来ませんでした？
0x0011c815 ［村長］
0x0011c824 ラトク・カート・・・
0x0011c83d はぁ、たしかにそんな名前の人が
0x0011c85c しばらく前に来ましたね。
0x0011c877 ですが、ヴァルアの町へ行く道を
0x0011c896 聞いてましたから・・・。
0x0011c8b5 ［フレイ］
0x0011c8c4 じゃ、今はヴァルアの
0x0011c8d9 町にいるってコトですね。
0x0011c8f8 ［村長］
0x0011c905 それはそうなんですが
0x0011c91c 今はヴァルアの町に行くことはで
0x0011c93b きませんよ。
0x0011c94e ［フレイ］
0x0011c95d できないって・・・
0x0011c971 どうしてですか？
0x0011c988 ［村長］
0x0011c995 ヴァルアに通じる唯一の
0x0011c9ac 橋が崩れてしまったんです。
0x0011c9cd ［フレイ］
0x0011c9dc そ、そんな・・・。
0x0011c9f0 じゃあ一体どうすれば・・・。
0x0011ca11 うーん。うーん。
0x0011ca27 ［フレイ］
0x0011ca36 あれ？　いま、なにか声が・・・。
0x0011ca5d ［村長］
0x0011ca6a ああ、あれは病気でねている私の息子です。
0x0011ca95 そうだ、どうぞこちらへいらしてください。
0x0011cac4 ［フレイ］
0x0011cad3 はい。
0x0011cae0 ［村長］
0x0011caed 紹介します。こちらのお
0x0011cb04 方は、アイザック先生。
0x0011cb1d ムリをいって息子の病気をみてい
0x0011cb3c ただいております。
0x0011cb55 ［アイザック］
0x0011cb68 なに、たいしたコトではないわい。
0x0011cb8f ［村長］
0x0011cb9c 先生、実はかくかくしか
0x0011cbb3 じかなのですが・・・。
0x0011cbd0 ［フレイ］
0x0011cbdf 本当ですか？
0x0011cbf2 ［アイザック］
0x0011cc05 うむ。そのかわりと言ってはなんじゃが、
0x0011cc2e ちと頼まれてくれんかの。
0x0011cc4d ［アイザック］
0x0011cc60 レイティア湖をこ
0x0011cc71 えた先にあるヴァルアの町で、
0x0011cc92 『リーフの秘薬』
0x0011cca4 を手に入れてき
0x0011ccb3 てほしいんじゃ。
0x0011ccc6 この子の治療にどうしても必要なんでな。
0x0011ccf3 ［フレイ］
0x0011cd02 わかりました。
0x0011cd17 ［フレイ］
0x0011cd28 ・・・あれ？
0x0011cd3b ［フレイ］
0x0011cd4a あのー、ふと思ったん
0x0011cd5f ですけどもー・・・
0x0011cd78 ［フレイ］
0x0011cd87 どうしてあなたが直接いかないんです？
0x0011cdb2 ［アイザック］
0x0011cdc7 う゛っ！　そ、それはじゃな・・・。
0x0011cdf0 ［フレイ］
0x0011cdff ははん、読めたわ。
0x0011ce14 そのなんとかの薬ってのを自分の
0x0011ce33 お金で買うのがイヤなもんで
0x0011ce50 私に買わせようってハラね！
0x0011ce71 ［アイザック］
0x0011ce84 え〜い、ゴチャゴチャとうるさい娘じゃのう。
0x0011ceb1 湖がわたれんでもいいのか？
0x0011ced2 ［フレイ］
0x0011cee1 う゛っ！　わ、わかったわよ。
0x0011cf00 持ってくればいいんでしょ！
0x0011cf21 ［アイザック］
0x0011cf34 はじめから、そうスナオに言えばよいのじゃ。
0x0011cf61 わしは村はずれの灯台で待っておるからな。
0x0011cf90 ［フレイ］
0x0011cfa1 はい。これがリーフの秘薬です。
0x0011cfc6 ［アイザック］
0x0011cfd9 うむ。ごくろうごくろう。
0x0011cff8 ［フレイ］
0x0011d007 ・・がるるるるる・・
0x0011d022 ［村長］
0x0011d02f フレイさん、ありがとう
0x0011d046 ございました。
0x0011d057 では先生、さっそく薬を。
0x0011d076 ［アイザック］
0x0011d089 うむ。
0x0011d096 ［村長の息子］
0x0011d0a9 ・・スヤスヤ・・
0x0011d0c0 ［アイザック］
0x0011d0d3 もうだいじょうぶじゃ。
0x0011d0ec しばらくは安静にしておかねばな
0x0011d10b らんがの。
0x0011d11c ［フレイ］
0x0011d12b じゃあ、私はこれで。
0x0011d146 ［村長］
0x0011d153 お待ちください。
0x0011d16a ［村長］
0x0011d177 本当にありがとうござい
0x0011d18e ました。
0x0011d199 すこしですが、どうぞお受け取りください。
0x0011d1c8 ［フレイ］
0x0011d1d7 ええっ、こんなに！？
0x0011d1ec あ、ありがとうございます。
0x0011d209 それじゃあ。
0x0011d21c ［フレイ］
0x0011d22b あ、そうだ。
0x0011d23e ［フレイ］
0x0011d24d あのぉ〜、アイザック
0x0011d263 ・・・先生？
0x0011d276 ［アイザック］
0x0011d289 なんじゃな。急にあらたまって。
0x0011d2ae ［フレイ］
0x0011d2bd 実は、かくかくしかじかというワケで・・・。
0x0011d2ee ［アイザック］
0x0011d301 なんじゃと！
0x0011d30e 空中城ク・オルじゃと！？
0x0011d329 それが本当ならば急いでヴァルア
0x0011d348 の町に向かわねばならん。
0x0011d363 娘、用意はいいな？
0x0011d37c ［フレイ］
0x0011d38b もう、どうにでもしてください。
0x0011d3b0 ［アイザック］
0x0011d3c3 うむ。それでは行くぞ。
0x0011d3e0 ［村長］
0x0011d3ed 本当にありがとうござい
0x0011d404 ました。
0x0011d40f なんとお礼を言ってよいものやら・・・。
0x0011d43c ［村長］
0x0011d449 おねがいします。どうか
0x0011d460 息子をたすけてください。
0x0011d47f ［アイザック］
0x0011d492 さっさとリーフの秘薬をもってこんか！
0x0011d4bd ［村長の息子］
0x0011d4d0 うーんうーん。
0x0011d4e5 ［村長の息子］
0x0011d4f8 ・・スヤスヤ・・
0x0011d50f ［ミリー］
0x0011d51e わあ、やっぱりぃ！
0x0011d532 あたしが思ったとおりだ。
0x0011d54d あのね、あたしミリーって言うん
0x0011d56c だけど。
0x0011d577 実はあたしも魔法使いになりたい
0x0011d596 の。
0x0011d59d おねえちゃんの力でなんとかならない？
0x0011d5c8 ［フレイ］
0x0011d5d7 え、えーと・・・
0x0011d5ee ［ミリー］
0x0011d5fd 自分でゆーのも、おこ
0x0011d612 がましいとは思うけど、
0x0011d62b ときどき、あたしってば天才なん
0x0011d64a じゃないかって思うぐらい・・
0x0011d66d ［フレイ］
0x0011d67c ちょ、ちょ〜っとゴメンね、ミリーちゃん。
0x0011d6a7 急いでるから、また後でね。
0x0011d6c8 ［フレイ］
0x0011d6d7 ミル！　どうしたの、
0x0011d6ec いったい！？
0x0011d6ff ［ミル］
0x0011d70c やあ、フレイさんじゃないですか。
0x0011d733 ［ミル］
0x0011d740 ちょっとテレポートに失敗して
0x0011d75d しまいましてね。
0x0011d770 いやぁ、はっはっは。
0x0011d78b ［フレイ］
0x0011d79a はっはっは、じゃないわよ。
0x0011d7b7 とりあえず、そのズブぬれのカッ
0x0011d7d6 コをなんとかしないと。
0x0011d7f3 ［ミリー］
0x0011d802 よかったらウチで着がえてって。
0x0011d827 ［ミル］
0x0011d834 こちらの方は？
0x0011d849 ［フレイ］
0x0011d858 この子はミリー。
0x0011d86f ［フレイ］
0x0011d87e で、こっちが
0x0011d88b ついこの間まで私の先生だった人で、
0x0011d8b0 ミル・グラードって言うの。
0x0011d8d1 ［ミリー］
0x0011d8e0 先生なのに呼びすてにしていいの？
0x0011d907 ［ミル］
0x0011d914 いいんですよ、その方が気が楽ですし。
0x0011d93f ［ミリー］
0x0011d94e じゃ、私も『ミル』でいいわね。
0x0011d96d よろしく！
0x0011d97e ［ミル］
0x0011d98b こちらこそよろしく、　ミリーさん。
0x0011d9b0 それじゃあ、すみませんがごやっ
0x0011d9cf かいになります。
0x0011d9f5 うん。こっち。
0x0011d9e6 ［ミリー］
0x0011d9f5 うん。こっち。
0x0011da0a ［フレイ］
0x0011da19 はああ〜、あれが私の
0x0011da2e 先生かと思うと・・・。
0x0011da47 それにしても。
0x0011da57 ミルのペースに合わせてたら、
0x0011da78 なんだか、だんだん眠くなってきちゃった・・・
0x0011daa9 ふああああああああああ・・・
0x0011daca ［ミリー］
0x0011dad9 お・ば・さん、こんにちは！
0x0011dafa ［おばさん］
0x0011db0b こんにちは、ミリーちゃん。
0x0011db28 よかったら、後でまた子守りをおねがいね。
0x0011db57 ［おばさん］
0x0011db68 あちこちで若い子が
0x0011db7b 行方不明になってるそうだね。
0x0011db9a ミリーちゃんも気をつけてね。
0x0011dbbd ［ミリー］
0x0011dbcc だいじょうぶ。あたしはそんなガキじゃないもん。
0x0011dc01 ［ミリー］
0x0011dc10 おじさん、またなにか手伝うコトない？
0x0011dc3b ［おじさん］
0x0011dc4c おお、ミリーちゃんか。いつも助かってるよ。
0x0011dc7d ［ミリー］
0x0011dc8c おじいさん。出歩い
0x0011dc9f たりしてだいじょうぶ！？
0x0011dcbe ［おじいさん］
0x0011dcd1 はあ、わしは今年で８０になりますじゃ。
0x0011dcfe ［サムス］
0x0011dd0d 今度こそ二人きりになれたね、メネア。
0x0011dd38 ［メネア］
0x0011dd47 でもいいの？　サムス。
0x0011dd60 いくら空き家だからって、勝手に
0x0011dd7f 使うのはマズイんじゃ・・・
0x0011dda0 ［サムス］
0x0011ddaf 心配することはないよメネア。
0x0011ddce ボクたちの愛の前では、どんな罪
0x0011dded だって許されるさ。
0x0011de06 ［メネア］
0x0011de15 ああ、サムス・・・。
0x0011de30 ［ミリー］
0x0011de3f あれ？　町長さんに何か用なの？
0x0011de64 ［フレイ］
0x0011de75 んー・・・
0x0011de81 そう言えば、何もないわね。
0x0011dea2 ［ミリー］
0x0011deb1 お薬、早くみつかると
0x0011dec6 いいね、フレイおねえちゃん。
0x0011dee9 ［フレイ］
0x0011def8 そうね。レイジアの村
0x0011df0d 長さんも待ってるコトだし。
0x0011df2e ［フレイ］
0x0011df3d 返事がないわね。
0x0011df4f だれもいないのかしら？
0x0011df6c ［ミリー］
0x0011df7b あ、ここの人たちねー
0x0011df90 少し前にひっこしちゃったよ。
0x0011dfaf たしか、バヌワとかいう町だと思ったけど。
0x0011dfde ［ミリー］
0x0011dfed あああ〜！！　にげる気だあ〜！！
0x0011e014 ［フレイ］
0x0011e023 や、や〜ね〜。そんなコトしないってば。あはは。
0x0011e058 ［フレイ］
0x0011e067 いっけなぁ〜い！
0x0011e079 ついウトウトしちゃったぁ。
0x0011e096 ミルたち、どうしたかしら？
0x0011e0b1 まだ道具屋かな。
0x0011e0c8 ［フレイ］
0x0011e0d7 きゃっ！
0x0011e0e6 ［ミル］
0x0011e0f3 フレイさん、お待たせしました。
0x0011e118 ［ミリー］
0x0011e127 フレイおねえちゃん、お待たせ。
0x0011e14c ［フレイ］
0x0011e15b ええっ！？　ミ、ミルなのぉ？
0x0011e17e ［ミル］
0x0011e18b そうですけど・・・ヘンでしょうか。
0x0011e1b4 ［フレイ］
0x0011e1c3 うっ、ううん。そ、そんなコトないと思うけどっ。
0x0011e1f8 ［ミリー］
0x0011e207 よく似合ってるわよ、ミル。
0x0011e228 ［ミル］
0x0011e235 ありがとうミリーさん。
0x0011e252 ［フレイ］
0x0011e261 ところでミル、
0x0011e271 あなたがどうしてここに？
0x0011e28c まさか、私を連れもどしに来たんじゃ・・・！？
0x0011e2bf ［ミル］
0x0011e2cc いえいえ、そうじゃあり
0x0011e2e3 ません。
0x0011e2ee 実は最近あちこちで若い人たちが
0x0011e30d 行方不明になっておりまして。
0x0011e330 ［ミリー］
0x0011e33f あ、それなら、あたしも知ってる。
0x0011e362 “人さらい”ってゆーんでしょ。
0x0011e387 ［ミル］
0x0011e394 で、それにどうも、闇の
0x0011e3ab 魔導が関係しているらしく、
0x0011e3c8 私もこの事件の調査にくわわるこ
0x0011e3e7 とになったんです。
0x0011e400 ［フレイ］
0x0011e411 やっぱそれってラトク
0x0011e428 さんに関係あるのかしら？
0x0011e447 ［フレイ］
0x0011e456 えっ、ク・オルって、あのアマドゥクの？
0x0011e483 ［ミリー］
0x0011e492 ねえねえ、あたしにも
0x0011e4a7 わかるように説明してよ。
0x0011e4c6 ［ミル］
0x0011e4d3 つまりですね。古代、　リオラ文明の時代に名をのこす
0x0011e508 闇の大魔導士アマドゥクが・・
0x0011e52b ［フレイ］
0x0011e53a よーするにね。
0x0011e54b 昔むか〜しの悪い魔法使いさんが
0x0011e56a 作った、空飛ぶお城のことよ。
0x0011e58d ［ミリー］
0x0011e59c ふーん。
0x0011e5ab ［フレイ］
0x0011e5bc ところで・・・
0x0011e5ce 私にはさっきからちっとも見えな
0x0011e5ed いんだけど？
