0x0a39a2c6 待ちなッ！嬢ちゃん。
0x0a3a12c4 』の行ってきた妨害工作・武器密輸・違法研究・私設軍隊の所有、政府官僚
0x0a3a1438 との癒着。
0x0a3a1452 その他、買収・乗っ取り・裏談合などの違法行為が次々と発覚。
0x0a3a14a6 『こんごう重工』と『はづき鉄道』は解体され、その施設と子会社の
0x0a3a14ea 大部分は国の管理下に置かれる事になった。
0x0a3a151c 一方、有限会社はづき宅配便は…。
0x0a3a154c 『はづき鉄道』の財産整理に当たって、十分な利益の上がって
0x0a3a158a いなかった『はづき宅配便』は、出資を打ち切られ
0x0a3a15be 事実上の倒産となった。
0x0a3a15de 華鈴社長は会社設立にあたって、個人的に親会社に借金をし
0x0a3a161a ていたため、今も借金の返済に追われている。
0x0a3a1678 そして…。
0x0a3a16ac もう少し右！
0x0a3a16c4 そうそう！ＯＫ！
0x0a3a16f0 じゃ、そこで倒れないように固定して！
0x0a3a1730 華鈴社長…！
0x0a3a1748 じゃない店長！準備出来ました！
0x0a3a177a ちーずっ！！！
0x0a3a17ba 借金の山もなんのその。華鈴店長と新たに宅配中華クレープ屋
0x0a3a17f8 を旗揚げし、今も元気に借金返済にあたっています！
0x0a3a185a Ｐ．Ｓ．七転び八起き！お父様！お母様！
0x0a3a1886 どんな苦難にも屈しない華鈴店長って、やっぱカッコイーッ！！
0x0a3a1900 シスター
0x0a3a190e あれです！あの人が押し込み強盗放火犯ですわ！
0x0a3a1956 うっ　ウソよォ！違うわッ！！
0x0a3a197e 冤罪よー！
0x0a3a1994 助けて華鈴社長ー！！
0x0a3a19ea その後、軍警察の調査により『こんごう重工』の行ってきた
0x0a3a1a26 妨害工作・武器密輸・違法研究・私設軍隊の所有。
0x0a3a1a64 その他、買収・癒着・乗っ取り・裏談合などの違法行為が次々と発覚。
0x0a3a1ab4 『こんごう重工』は解体され、その施設と子会社の大部分は
0x0a3a1af0 『はづき鉄道』と『きりしま化学』などの大企業に吸収されて行った。
0x0a3a1b3a 一方、有限会社はづき宅配便は…。
0x0a3a1b6a 刑事訴訟こそ逃れたものの、親会社『はづき鉄道』から設計
0x0a3a1ba6 図喪失の責任を問われ、会社は解散となった。
0x0a3a1bda 華鈴社長は会社設立にあたって、個人的に親会社に借金をし
0x0a3a1d68 ている。
0x0a3a1da4 そして…。
0x0a3a1de2 さあっキリキリ働くのよ！
0x0a3a1e2c いやー！華鈴社長、もうゆるしてー！
0x0a3a1e6a なに言ってるの！まだ借金が山ほど残っているのよ！
0x0a3a1eb0 こんごう重工のばかーっっっ！
0x0a3a1ef4 今も、華鈴社長と一緒に借金返済のため、鉱山で働いている。

