0x000bd7d0 通信エラーが発生しました！
0x000bdd63 怒られるけど…
0x000bdd74 私のサインは
0x000bdd81 いいものでしょ
0x000bdd90 私の歌を
0x000bdd99 みんな聴いてねぇ
0x000bddac 歌を聞いたら人は変わっていく
0x000bddc9 私たちのように…
0x000bdddc ＦＩＸ！　ＦＩＸ！
0x000bddf0 人はいつか時間さえ
0x000bde03 支配することができるさ
0x000bde1c このミサイルはどこまでも
0x000bde35 ついていくであります！！
0x000bde50 見えるよ、
0x000bde5b 見えるよ、みんなが…
0x000bde70 その程度の攻撃なんぞ
0x000bde85 効かんわ！！
0x000bde94 こういう時は
0x000bdea1 臆病で丁度いいのよねぇ
0x000bdeb8 ゲロゲロゲロ…
0x000bdec7 これが我輩の実力であります
0x000bdee4 甘いな…
0x000bdeed この程度の走りでは勝てんぞ！
0x000bdf0c 僕が一番フライングボードを
0x000bdf27 うまく動かせるんだ！！
0x000bdf40 それじゃぁ
0x000bdf4b 僕は止められないですぅ
0x000bdf64 へへ〜ん、見たか！
0x000bdf77 僕の速さを思いしったか〜！！
0x000bdf94 きさまぁ
0x000bdf9d そこどけやぁ…ゴラァ
0x000bdfb4 バカモノ！！
0x000bdfc1 そんなところでぐずぐずするな
0x000bdfe0 まだだ！
0x000bdfe9 まだ、負けたわけじゃない！！
0x000be008 お前の独走など
0x000be017 やらせはせん！！
0x000be028 邪魔だ
0x000be02f どけよ……！
0x000be03c もっと骨のある奴は
0x000be04f いないのかねぇ〜
0x000be060 くっくっくっく…
0x000be071 遅いねぇ
0x000be07c これも宿命でござる
0x000be08f いざ、勝負！！
0x000be0a0 これが拙者の
0x000be0ad 修行の成果でござる！！
0x000be0c4 拙者の目的のため
0x000be0d5 行かしてもらうでござる！
0x000be0f0 先に行かせてくれてありがとう
0x000be10d 後でサインをあげるわ
0x000be124 意外と
0x000be12b あなたも甘いようで…
0x000be140 私に抜かれたからって
0x000be155 落ち込まないでね
0x000be168 ＦＩＸ！　ＦＩＸ！
0x000be17c あえて言おう
0x000be189 その程度ならカスであると！
0x000be1a4 このマシンなら
0x000be1b3 我輩は誰にでも勝てる！
0x000be1cc おじさまぁ
0x000be1d7 がんばってぇー
0x000be1e8 ゲロッ！
0x000be1f1 がんばるであります！
0x000be208 軍曹さん、軍曹さんは
0x000be21d その女のほうがいいんですかぁ
0x000be23c 軍曹
0x000be241 がんばれぇ
0x000be24c このままペコポン侵攻も
0x000be263 やってしまうであります！！
0x000be280 あんたの
0x000be289 思いどおりにさせないわ！
0x000be2a4 おじさまぁ
0x000be2af がんばってぇー
0x000be2c0 ゲロッ！
0x000be2c9 がんばるであります！
0x000be2e0 タマちゃん
0x000be2eb そこよ！がんばって
0x000be300 はいですぅ
0x000be30b ももっちありがとうですぅ
0x000be324 おら！そんな返事してねぇで
0x000be33f さっさと行きやがれ
0x000be354 タママどの
0x000be35f まだ油断はなりませんぞ
0x000be378 （ギロッ！奴の目は
0x000be38b 獲物を狩る者の目だ！！）
0x000be3a4 わかったですぅ
0x000be3b4 タマちゃん
0x000be3bf そこよ！がんばって
0x000be3d4 はいですぅ
0x000be3df ももっちありがとうですぅ
0x000be3f8 サ…サブロー先輩
0x000be409 サブロー先輩も応援ですか？
0x000be424 まぁね
0x000be42b クルルの応援に来たんだ
0x000be444 夏美！！
0x000be44d 奴とのざれ事をやめろ！！
0x000be468 ギロロ！がんばんなさいよ
0x000be481 今日はあんたを応援したげる
0x000be49c （夏美のためにも
0x000be4ad 俺は負けられん！）
0x000be4c0 く〜っくっくっくっく…
0x000be4d7 あんなに燃えちゃって…
0x000be4f0 ギロロ！がんばんなさいよ
0x000be509 今日はあんたを応援したげる
0x000be524 （夏美のためにも
0x000be535 俺は負けられん！）
0x000be548 クルちゃん
0x000be553 がんばって
0x000be560 く〜っくっくっくっく…
0x000be578 いやらしい笑いかた…
0x000be590 クルル
0x000be597 その調子だね
0x000be5a4 く〜っくっくっくっく…
0x000be5bb そこで見てな…
0x000be5cc 拙者も
0x000be5d3 負けていられないでござる
0x000be5ec クルル
0x000be5f3 その調子だね
0x000be600 く〜っくっくっくっく…
0x000be617 そこで見てな…
0x000be628 ドロロくんブレーキは禁止〜
0x000be643 （ニヤリ）
0x000be650 え？あぁぁぁ…壁にぶつかるぅ
0x000be66d （トラウマスイッチオン）
0x000be688 ドロロしっかり
0x000be697 過去に負けちゃダメよ
0x000be6ac ドロロ〜がんばって
0x000be6bf 忍びの心得を忘れないで…
0x000be6d8 そうでござるな
0x000be6e7 忍びはあせらず騒がず…
0x000be700 あせらなければ
0x000be70f きっと勝てるよ…
0x000be720 ドロロ〜がんばって
0x000be733 忍びの心得を忘れないで…
0x000be74c そうでござるな
0x000be75b 忍びはあせらず騒がず…
0x000be774 タママいくであります
0x000be789 せーの
0x000be790 すももちゃーん
0x000be7a0 応援ありがとう
0x000be7af これからも応援よろしくね
0x000be7c8 スケジュールにはペコポンに
0x000be7e3 来る予定はなかったはずだぜ
0x000be800 …ペコポンに着いたら
0x000be815 レースが楽しそうだったから…
0x000be834 ふん…戦場にアイドルが来て
0x000be84f どうしよって言うんだ
0x000be864 すももちゃーん
0x000be873 がんばれぇ
0x000be880 応援ありがとう
0x000be88f これからも応援よろしくね
0x000be8a8 ＦＩＸ！　ＦＩＸ！
0x000be8bc ＦＩＸ！　ＦＩＸ！
0x000be8d0 お、俺も言わないとダメか…
0x000be8eb ＦＩＸ！　ＦＩＸ！
0x000be900 ＦＩＸ！　ＦＩＸ！
0x000be914 ＦＩＸ！　ＦＩＸ！
0x000be928 ふぃっくす！　ふぃっくす！
0x000be943 …はずかしいでござるよ…
0x000be95c このままペコポン侵攻も
0x000be973 やってしまうであります！！
0x000be990 あんたの
0x000be999 思いどおりにさせないわ！
0x000be9b4 あヒーーーーーー
0x000be9c8 何さらして
0x000be9d3 けつかんねん！！？
0x000be9e8 ゲロォッ！！？
0x000be9f7 バナナの皮！！
0x000bea08 ゲロォッ！！？
0x000bea17 手榴弾でありますか！
0x000bea2c 何してんだよゴラァー
0x000bea44 よくもよくも…
0x000bea53 僕を怒らせると…
0x000bea64 バナナの皮を
0x000bea71 捨てんじゃねーよ！！
0x000bea88 誰ですかぁ
0x000bea93 今におぼえているですぅ
0x000beaac ヒィ〜ヤァ〜〜〜〜ツ！！？
0x000beac8 やる！
0x000beacf だが、まだこんなもので！
0x000beae8 バナナの皮だと！？
0x000beafb 俺としたことが！
0x000beb0c グハッ　手榴弾だと！？
0x000beb23 何のこれしき！
0x000beb34 くくくっ…くっくっく……
0x000beb50 …く〜っくっくっ
0x000beb61 くっくっくっく…
0x000beb74 くっくっく…
0x000beb81 バナナの皮とは、やるね
0x000beb98 ……くっくっくっ…
0x000bebac 拙者としたことが…
0x000bebc0 拙者にこのような攻撃
0x000bebd5 通用しな…ぐふッ
0x000bebe8 え、何？
0x000bebf1 バナナの皮？
0x000bec00 …不覚！　手榴弾などにっ
0x000bec1c きゃぁ〜〜〜
0x000bec2c 宇宙アイドルの私が
0x000bec3f 何でこんな目に合うのよ〜
0x000bec58 宇宙アイドルは
0x000bec67 バナナの皮で転ばないのよ…
0x000bec84 宇宙アイドルに
0x000bec93 手榴弾だなんてヒドイ！
0x000becac ヒィ―――――
0x000becbc 殴ったな！親父にも
0x000beccf 殴られたことないのにっ
0x000bece8 ふんじゃったヨ！
0x000becf9 バナーナっ！
0x000bed08 ふんじゃったヨ！
0x000bed19 Ｂｏｏｍ！！
0x000bed28 ゲロゲロゲロ…
0x000bed37 圧倒的じゃないか…
0x000bed4a これで隊長の座も
0x000bed5b 安泰であります！！
0x000bed70 まだまだ
0x000bed79 この程度で…
0x000bed86 必ず追い越して
0x000bed95 みせるであります！
0x000beda8 我輩とて
0x000bedb1 ケロン軍の男だ！
0x000bedc2 こんな所に
0x000bedcd いるつもりなどない
0x000bede0 ゲロッ…我輩は
0x000bedef 勝たねばならない
0x000bee00 のにこのままでは
0x000bee11 隊長の座が…
0x000bee20 我輩はこんな所で
0x000bee31 くすぶってるような
0x000bee44 器ではないで
0x000bee51 あります！！
0x000bee60 このまま
0x000bee69 ぶっちぎりで
0x000bee76 勝ってみせるですぅ
0x000bee8c 憎い！！
0x000bee95 このドス黒い感情を
0x000beea8 力に変えて必ず
0x000beeb7 勝ってみせるですぅ
0x000beecc 自分がやらなきゃ
0x000beedd だれがやるですぅ！
0x000beef0 勝ちたいと思った
0x000bef01 方が勝つですぅ
0x000bef10 僕が
0x000bef15 こんな所に
0x000bef20 いるなんて
0x000bef2b ありえないですぅ
0x000bef3c ざけんじゃねぇよ
0x000bef4d 僕がこのまま
0x000bef5a 終わるなんて
0x000bef67 ありえないですぅ！
0x000bef7c いくつもの戦場を
0x000bef8d くぐりぬけたのは
0x000bef9e 伊達ではない！！
0x000befb0 あまり調子に
0x000befbd 乗るなよ！！
0x000befca あとで痛い目に
0x000befd9 あいたくなければな
0x000befec ちっ
0x000beff1 少ししくじったが
0x000bf002 今度こそ
0x000bf00b 勝ってみせる！
0x000bf01c 俺は
0x000bf021 追い詰められた
0x000bf030 状態からでも
0x000bf03d 勝ってみせる！！
0x000bf050 認めたくないな
0x000bf05f 自分自身の…
0x000bf06c 若さゆえの過ちを…
0x000bf07f 必ず巻き返す！！
0x000bf090 く〜っくっくっく…
0x000bf0a3 俺の改造したマシン
0x000bf0b6 誰も抜く事など
0x000bf0c5 できやしないぜぇ
0x000bf0d8 く〜っくっくっく…
0x000bf0eb この程度の差
0x000bf0f8 簡単に抜かして
0x000bf107 みせるぜぇ
0x000bf114 く〜っくっくっく…
0x000bf127 まだ、
0x000bf12e 改造が
0x000bf135 足りないようだな
0x000bf148 そろそろ
0x000bf151 あれを使うか
0x000bf15e く〜っくっくっく…
0x000bf174 天才の俺がこんな
0x000bf185 位置にいるとは…
0x000bf196 天才の力を
0x000bf1a1 みせてやるぜぇ
0x000bf1b0 これが日々の
0x000bf1bd 修行の成果でござる
0x000bf1d0 勝ってペコポンの
0x000bf1e1 平和を守るでござる
0x000bf1f4 これからが
0x000bf1ff 拙者の本当の力
0x000bf20e そう簡単には勝たせ
0x000bf221 ないでござるよ！！
0x000bf234 拙者に与えられし
0x000bf245 試練…
0x000bf24c この試練を越えて
0x000bf25d こその勝利でござる
0x000bf270 いいんだ…
0x000bf27b 平気…
0x000bf282 次は勝って
0x000bf28d みせるから…
0x000bf29c 拙者がこんな所に…
0x000bf2af でも
0x000bf2b4 あきらめるわけには
0x000bf2c7 いかんのでござるよ
0x000bf2dc あはっ
0x000bf2e3 私の魅力があれば
0x000bf2f4 １位をとるなんて
0x000bf305 簡単なことね
0x000bf314 チャンスはあるわ
0x000bf325 これぐらい
0x000bf330 すぐに追いついて
0x000bf341 みせるわ
0x000bf34c ちょっと
0x000bf355 油断しましたわ
0x000bf364 今度はそうは
0x000bf371 いかないですわ
0x000bf380 どうなってるの
0x000bf38f 私が
0x000bf394 こんな位置に
0x000bf3a1 いるなんて…
0x000bf3b0 宇宙アイドルの私が
0x000bf3c3 宇宙シングル
0x000bf3d0 チャート１位の私が
0x000bf3e3 なんで５位なのよ〜
0x000bf3f8 ＦＩＸ　ＦＩＸ！
0x000bf409 ＦＩＸ　ＦＩＸ！
0x000bf41a ＦＩＸ　ＦＩＸ！
0x000bf42b ＦＩＸ　ＦＩＸ！
0x000bf43c ＦＩＸ　ＦＩＸ！
0x000bf44d ＦＩＸ　ＦＩＸ！
0x000bf45e ＦＩＸ　ＦＩＸ！
0x000bf470 ＦＩＸ　ＦＩＸ！
0x000bf481 ＦＩＸ　ＦＩＸ！
0x000bf494 ＦＩＸ　ＦＩＸ！
0x000bf4a8 ・・・・・・
0x000bf4b8 まだだ
0x000bf4bf まだ終わらんよ！
0x000bf4d0 必ず抜かして
0x000bf4dd みせるであります！
0x000bf4f0 その意気ごみは
0x000bf4ff かおう！！
0x000bf50a だが、簡単には
0x000bf519 やらせはせんぞぉ
0x000bf52c ゲロゲロゲロ
0x000bf539 そういう冗談は
0x000bf548 止めに
0x000bf54f してくれないかっ
0x000bf560 ゲロゲロゲロ…
0x000bf56f ここらへんで
0x000bf57c とどめと
0x000bf585 いきますか…
0x000bf594 ゲロッ！　まったく
0x000bf5a7 そうであります…
0x000bf5b8 我輩も１位を必ず
0x000bf5c9 とるであります
0x000bf5d8 このままでは
0x000bf5e5 終われないですぅ
0x000bf5f6 必ず抜かして
0x000bf603 みせるですぅ
0x000bf610 僕にプレッシャーを
0x000bf623 与えるなんて…
0x000bf632 そんなことは絶対に
0x000bf645 ありえないですぅ
0x000bf658 僕も負けないですぅ
0x000bf66b 全力で
0x000bf672 １位を奪って
0x000bf67f みせるですぅ
0x000bf68c 僕が本当の力を
0x000bf69b 出せば
0x000bf6a2 １位なんて
0x000bf6ad すぐとれるですぅ
0x000bf6c0 もう
0x000bf6c5 ようしゃ
0x000bf6ce しないですぅ
0x000bf6db 覚悟するですぅ
0x000bf6ec きさまが
0x000bf6f5 これほどやるとは
0x000bf706 だが…このまま
0x000bf715 終わらせはせん！！
0x000bf728 貴様のやる気は
0x000bf737 認めてやろう！
0x000bf746 だが、そんなに
0x000bf755 レースは甘くないぞ
0x000bf768 勝つための
0x000bf773 チャンスは
0x000bf77e １度あれば
0x000bf789 十分だ！！
0x000bf794 なかなか
0x000bf79d しぶといな…
0x000bf7aa だが、やすやすと
0x000bf7bb 勝たせはせんぞぉ！
0x000bf7d0 貴様が
0x000bf7d7 そのような
0x000bf7e2 順位にいるのは
0x000bf7f1 坊やだからさ！
0x000bf800 く〜っくっくっく…
0x000bf813 なかなか
0x000bf81c やりますねぇ
0x000bf82c く〜っくっくっく…
0x000bf83f 気合だけで
0x000bf84a 俺を抜けるなんて
0x000bf85b 思うなよぉ〜
0x000bf868 く〜っくっくっく…
0x000bf87b 人生そう簡単に
0x000bf88a 思い通りになると
0x000bf89b 思ったら間違いだぜ
0x000bf8b0 く〜っくっくっく…
0x000bf8c3 レースという
0x000bf8d0 ゲームを
0x000bf8d9 もっと楽しもうぜぇ
0x000bf8ec く〜っくっくっく…
0x000bf8ff そこから
0x000bf908 勝つのは難しい
0x000bf917 だろうねぇ〜
0x000bf924 まだまだでござる！
0x000bf937 たかが１位を
0x000bf944 とられた
0x000bf94d だけでござるよ
0x000bf95c 拙者も簡単に
0x000bf969 １位を譲る気は
0x000bf978 ないでござるよ！！
0x000bf98c 拙者も気持ちで
0x000bf99b 負けないように
0x000bf9aa しないと
0x000bf9b3 いけないでござるな
0x000bf9c8 分かり申した
0x000bf9d5 拙者も同じ立場ゆえ
0x000bf9e8 手加減無用で
0x000bf9f5 ござる！
0x000bfa00 そうでござるな
0x000bfa0f 拙者も
0x000bfa16 負けていられないで
0x000bfa29 ござる！！
0x000bfa34 私ますます
0x000bfa3f やる気に
0x000bfa48 なってきたわ
0x000bfa55 次は勝つわよ〜
0x000bfa64 あはっ
0x000bfa6b 気合が
0x000bfa72 入ってるじゃない
0x000bfa83 私も負けないから
0x000bfa94 私も負けないように
0x000bfaa7 がんばらなきゃ
0x000bfab6 ファンのためにも
0x000bfac7 負けられないから
0x000bfad8 私も負けてなんか
0x000bfae9 いられない
0x000bfaf4 だから
0x000bfafb 応援よろしくね
0x000bfb0c あ〜あがっかり
0x000bfb1b あなたが
0x000bfb24 その程度の
0x000bfb2f 実力しかないなんて
0x000bfb44 ＦＩＸ　ＦＩＸ！
0x000bfb55 ＦＩＸ　ＦＩＸ！
0x000bfb66 ＦＩＸ　ＦＩＸ！
0x000bfb77 ＦＩＸ　ＦＩＸ！
0x000bfb88 ＦＩＸ　ＦＩＸ！
0x000bfb99 ＦＩＸ　ＦＩＸ！
0x000bfbaa ＦＩＸ　ＦＩＸ！
0x000bfbbc ＦＩＸ　ＦＩＸ！
0x000bfbcd ＦＩＸ　ＦＩＸ！
0x000bfbe0 ＦＩＸ　ＦＩＸ！
0x000bfbf4 ・・・・・・
0x000bfc04 我輩に勝つなんて
0x000bfc15 まだまだ、
0x000bfc20 早いであります
0x000bfc2f ゲロゲロゲロ…
0x000bfc40 僕の勝ちですぅ
0x000bfc4f 誰も僕の前を
0x000bfc5c 走らせないですぅ
0x000bfc70 機動歩兵の
0x000bfc7b 俺にレースで
0x000bfc88 勝とうなど
0x000bfc93 まだ、早いわ！
0x000bfca4 く〜っくっく…
0x000bfcb3 この俺に
0x000bfcbc 勝てるとでも
0x000bfcc9 思ったか？
0x000bfcd4 これが
0x000bfcdb 拙者の修行の
0x000bfce8 成果でござる
0x000bfcf8 ヒットチャート
0x000bfd07 連続１位なのは
0x000bfd16 伊達じゃないのよ
0x000bfd28 本気になった
0x000bfd35 我輩の力
0x000bfd3e 思い知ったで
0x000bfd4b ありますか
0x000bfd58 我輩が負けるなんて
0x000bfd6b もう一度
0x000bfd74 勝負して欲しいで
0x000bfd85 あります！
0x000bfd90 僕が負けるなんて
0x000bfda1 悔しいですぅ
0x000bfdae 今度する時は
0x000bfdbb 必ず勝つですぅ
0x000bfdcc 俺が負けるなど
0x000bfddb 断じてありえん
0x000bfdea 次は
0x000bfdef 必ず勝ってみせる！
0x000bfe04 く〜っくっくっく…
0x000bfe17 俺を
0x000bfe1c 本気にさせたな
0x000bfe2b 次は本気で行くぜぇ
0x000bfe40 拙者が負けるなんて
0x000bfe53 もう一度
0x000bfe5c 修行の
0x000bfe63 やり直しでござるな
0x000bfe78 宇宙アイドルの
0x000bfe87 私が負けるなんて
0x000bfe98 そんなこと許せない
0x000bfeab もう一度、勝負よ！
0x000bfec0 ここまでした我輩が
0x000bfed3 負けるなんて…
0x000bfee2 もう一度
0x000bfeeb 勝負であります
0x000bfefc これは手きびしぃ〜
0x000bff0f 次こそは我輩が
0x000bff1e 勝たせていただく！
0x000bff34 ゲロゲロゲロ
0x000bff41 ようやく目が
0x000bff4e 覚めたであります！
0x000bff64 我輩はこんな所で
0x000bff75 負けたままでいる
0x000bff86 器ではないで
0x000bff93 あります！！
0x000bffa0 もはやこれまでで
0x000bffb1 ありますか…
0x000bffbe 我輩の計画がぁ…
0x000bffcf もう…絶望…？！
0x000bffe0 うっうっうっ…
0x000bffef 負けたですぅ
0x000bfffc ぐすっ…
0x000c0008 まだまだぁ…
0x000c0015 これから
0x000c001e 僕の本気を
0x000c0029 見せるですぅ…
0x000c0038 ゆるせねぇですぅ…
0x000c004b 次こそは必ず
0x000c0058 勝ってみせるですぅ
0x000c006c うぅぅ…
0x000c0075 僕がひどくみじめで
0x000c0088 ちっぽけな存在に
0x000c0099 思えてきたですぅ…
0x000c00ac くそっ！！
0x000c00b7 日ごろの鍛練が
0x000c00c6 足りなかったか…
0x000c00d8 なにっ！！
0x000c00e3 どういうことだ！！
0x000c00f6 俺が負けるなど…
0x000c0107 断じてありえん！！
0x000c011c 俺はこれ以上
0x000c0129 負けるわけには
0x000c0138 いかんのだぁ！！
0x000c014c な…なんだとぉ
0x000c015b 俺が…
0x000c0162 俺が負けるとは…
0x000c0174 く〜っくっくっく…
0x000c0187 俺の本当の実力
0x000c0196 みたいぃ〜？！
0x000c01a8 俺が負けるとは…
0x000c01b9 次こそは完璧な
0x000c01c8 セッティングで
0x000c01d7 勝負してやるぜぇ
0x000c01e8 な、なに！！
0x000c01f5 俺をここまで
0x000c0202 追い詰めるとは
0x000c0211 いい度胸だぜ！！
0x000c0224 く〜っくっくっく…
0x000c0237 まだまだ改造が
0x000c0246 足りなかったか
0x000c0255 く〜っくっくっく…
0x000c0268 ペコポンの
0x000c0273 平和のため
0x000c027e 負けるわけには
0x000c028d いかないでござる！
0x000c02a0 拙者の目的のため
0x000c02b1 ペコポン平和のため
0x000c02c4 負けるわけには
0x000c02d3 いかないでござる
0x000c02e4 これは
0x000c02eb まずいでござる…！
0x000c02fe このままでは
0x000c030b ペコポンの平和が…
0x000c0320 修行が足りないで
0x000c0331 ござるか
0x000c033a 拙者も
0x000c0341 まだまだでござるな
0x000c0354 もう負けるなんて
0x000c0365 我慢できない
0x000c0372 すもも
0x000c0379 いきまーす
0x000c0384 宇宙アイドルの私が
0x000c0397 また負けるなんて
0x000c03a8 みてらっしゃい
0x000c03b7 次こそは…
0x000c03c4 せっかく
0x000c03cd 極秘でペコポンに
0x000c03de 来たのに
0x000c03e7 負けたままなんて
0x000c03f8 また、すももで
0x000c0407 プレイして欲しいな
0x000c041a すもものお願い
0x000c0429 じゃ、ど疲れさん
0x000c043c ＦＩＸ　ＦＩＸ！
0x000c044d ＦＩＸ　ＦＩＸ！
0x000c045e ＦＩＸ　ＦＩＸ！
0x000c046f ＦＩＸ　ＦＩＸ！
0x000c0480 ＦＩＸ　ＦＩＸ！
0x000c0491 ＦＩＸ　ＦＩＸ！
0x000c04a2 ＦＩＸ　ＦＩＸ！
0x000c04b4 ＦＩＸ　ＦＩＸ！
0x000c04c5 ＦＩＸ　ＦＩＸ！
0x000c04d8 ＦＩＸ　ＦＩＸ！
0x000c0588 ¥｣
0x000c0994 −−−−−−−−−−
0x000c09ac ケロボール
0x000c09b8 使用者以外全員に
0x000c09c9 電気ショックを与えます
0x000c09e0 タライ
0x000c09e8 前を走るキャラクターに
0x000c09ff タライを上から落とします
0x000c0a18 手榴弾
0x000c0a20 手榴弾にぶつかると
0x000c0a33 爆発してしまいます
0x000c0a48 バナナの皮
0x000c0a54 踏んでしまうと
0x000c0a63 スピンしてしまいます
0x000c0a78 ミクロイド光線
0x000c0a88 光線に当たると
0x000c0a97 小さくなってしまいます
0x000c0ab0 宇宙ニョロ
0x000c0abc 宇宙ニョロが絡まると
0x000c0ad1 はやさが下がります
0x000c0ae4 救急箱
0x000c0aec 使うとHPが
0x000c0af7 大幅に回復します
0x000c0b08 せんべい
0x000c0b14 使うとHPが
0x000c0b1f 回復します
0x000c0b30 使うとHPが
0x000c0b3b 少し回復します
0x000c0b4c 小隊長角
0x000c0b58 加速、速さが少しＵＰ
0x000c0b6d コーナーが少しＤＯＷＮ
0x000c0b84 オカルトクラブバッチ
0x000c0b9c 速さが少しＵＰ
0x000c0bab 加速が少しＤＯＷＮ
0x000c0bc0 アフロのかつら
0x000c0bd0 コーナーが少しＵＰ
0x000c0be3 加速が少しＤＯＷＮ
0x000c0bf8 ＳＵＰＥＲしめしめ
0x000c0c0c 速さが少しＵＰ
0x000c0c1b コーナーが少しＤＯＷＮ
0x000c0c34 モアのリストバンド
0x000c0c48 加速が少しＵＰ
0x000c0c57 速さが少しＤＯＷＮ
0x000c0c6c 哲学入門
0x000c0c78 コーナーが少しＵＰ
0x000c0c8b 速さが少しＤＯＷＮ
0x000c0ca0 ガンプラ
0x000c0cac 加速、速さ、コーナーが
0x000c0cc3 ＵＰ、最大ＨＰが８０％
0x000c0cdc モアのDVD
0x000c0ce8 夏美の写真
0x000c0cf4 クルルの巾着
0x000c0d04 ゼロロのオルゴール
0x000c0d18 ケロロ小隊の旗
0x000c0d28 加速、速さ、コーナーが
0x000c0d3f ほんの少しＵＰ
0x000c0d50 宇宙ヒル（♂）
0x000c0d60 ケロン星の沼地に
0x000c0d71 生息するヒル
0x000c0d80 宇宙植物ドリーミンα
0x000c0d98 ケロン星に生息する
0x000c0dab 植物です
0x000c0db4 ニョロロ
0x000c0dc0 湿気を吸ったケロン人を
0x000c0dd7 好み、湿気を吸い取ります
0x000c0df0 宇宙ダコ
0x000c0dfc 吸引力バツグンで
0x000c0e0d 蘇生呼吸をしてくれます
0x000c0e24 宇宙お好み焼きＦＸ
0x000c0e38 ケロン星名物
0x000c0e45 油断すると逃げます
0x000c0e58 掃除機すいとーるくん
0x000c0e70 省エネエコロジー掃除機
0x000c0e88 地球人スーツ女子高生
0x000c0ea0 ペコポンの女子高生に
0x000c0eb5 なりきるためのスーツです
0x000c0ed0 地球人スーツスーツ
0x000c0ee4 ペコポンの一般男性に
0x000c0ef9 なりきるためのスーツです
0x000c0f14 地球人スーツ小学生
0x000c0f28 ペコポンの小学生に
0x000c0f3b なりきるためのスーツです
0x000c0f54 地球人スーツ１００式
0x000c0f6c 軍隊の訓練をするための
0x000c0f83 スーツです
0x000c0f90 水中探査用スーツ
0x000c0fa4 水中探査をするための
0x000c0fb9 スーツです
0x000c0fc4 人生が２度あれば銃
0x000c0fd8 撃った相手を子供にします
0x000c0ff4 大人の階段登る銃
0x000c1008 撃った相手を大人にします
0x000c1024 バイバイゲームガン
0x000c1038 撃ったものを時間が
0x000c104b 経つにつれ増殖させます
0x000c1064 恐怖カウンター
0x000c1074 恐怖を数値で量るための
0x000c108b 装置です
0x000c1094 ケロロＢ
0x000c10a0 ケロロの脳波を送ると
0x000c10b5 思い通りに動きます
0x000c10c8 ルシファースピア
0x000c10dc 惑星を壊す事のできる杖
0x000c10f4 すもものサイン
0x000c1104 宇宙アイドルすももの
0x000c1119 サイン色紙です
0x000c1128 ダンガル
0x000c1134 パチモンのプラモです
0x000c1149 希少価値が高いです
0x000c115c 幽霊ちゃん
0x000c1168 ケロロの部屋に住む
0x000c117b 幽霊です
0x000c1184 マダムケロロ
0x000c1194 ケロロが女装した姿です
0x000c11ac ママ冬樹
0x000c11b8 ママが中学生に戻った時の
0x000c11d1 姿です
0x000c11d8 ナースモア
0x000c11e4 モアがナースの服を着た
0x000c11fb 姿です
0x000c1204 宇宙警察官ポヨン
